scenario,heat_rebound,trans_rebound,heat_lifetime,trans_turnover,lead_onshore,lead_solar,cr_wind,cr_solar
S3_41,0.676,0.702,18.012,0.191,0.595,1.598,-1.438,-0.88
S3_42,1.249,1.048,23.858,0.176,1.228,1.295,-1.921,-0.977
S3_43,1.468,1.221,18.598,0.221,0.508,1.016,-0.452,-2.469
S3_44,0.861,1.326,16.219,0.176,1.117,2.262,-0.817,-2.032
S3_45,0.685,1.078,17.538,0.238,0.956,2.602,-0.551,-1.598
S3_46,1.285,0.855,18.399,0.163,1.299,1.371,-1.955,-2.494
S3_47,0.849,0.586,19.802,0.339,1.713,0.948,-1.274,-0.548
S3_48,0.751,1.295,24.141,0.182,1.351,1.032,-1.241,-0.584
S3_49,1.252,1.302,20.109,0.168,0.934,1.169,-1.516,-1.157
S3_50,0.855,1.225,23.196,0.292,1.283,0.877,-1.689,-0.895
S3_51,0.819,1.45,16.987,0.294,2.109,1.651,-0.518,-1.119
S3_52,1.222,0.805,23.335,0.254,2.042,2.494,-1.008,-2.35
S3_53,1.304,0.627,17.667,0.304,2.852,2.416,-0.116,-1.561
S3_54,1.229,0.683,22.251,0.321,1.106,1.506,-1.539,-1.271
S3_55,1.204,1.316,21.503,0.269,2.731,2.172,-1.911,-3.074
S3_56,1.253,0.742,17.909,0.338,1.112,2.712,-1.226,-0.662
S3_57,0.99,0.555,19.504,0.189,2.024,2.501,-1.997,-3.068
S3_58,0.667,0.956,15.789,0.319,1.926,2.98,-1.576,-1.877
S3_59,0.628,1.39,23.597,0.252,0.862,1.963,-1.386,-1.23
S3_60,0.92,0.659,19.272,0.204,2.37,1.143,-0.307,-0.951
S3_61,1.462,0.676,21.542,0.35,0.834,1.87,-1.135,-0.565
S3_62,1.458,1.41,17.69,0.338,0.616,0.567,-0.241,-1.725
S3_63,1.157,0.673,18.588,0.153,1.316,1.135,-1.347,-0.411
S3_64,0.76,0.904,18.912,0.246,2.158,1.633,-1.403,-0.576
S3_65,0.885,1.072,18.442,0.339,0.58,2.341,-0.341,-0.764
S3_66,0.979,0.73,18.729,0.172,0.906,1.437,-0.683,-2.333
S3_67,1.186,0.766,17.774,0.281,1.979,0.857,-1.626,-1.143
S3_68,0.604,0.608,23.804,0.261,2.479,1.445,-1.683,-3.033
S3_69,0.841,1.254,16.31,0.198,2.577,0.932,-1.098,-2.24
S3_70,0.804,0.819,20.112,0.334,1.529,1.634,-1.854,-2.665
S3_71,0.678,1.177,21.382,0.189,1.844,1.69,-0.836,-2.719
S3_72,1.256,1.115,23.168,0.261,2.474,2.17,-1.493,-2.25
S3_73,1.213,1.406,21.202,0.309,0.686,2.046,-1.153,-1.833
S3_74,1.414,1.002,16.033,0.234,1.23,1.64,-1.145,-2.414
S3_75,1.021,0.554,20.06,0.291,2.274,1.048,-1.173,-1.056
S3_76,0.591,1.364,21.272,0.265,2.124,1.891,-0.909,-2.059
S3_77,0.971,0.798,24.23,0.282,0.847,1.85,-0.462,-3.283
S3_78,1.278,1.463,23.529,0.277,2.896,2.872,-0.236,-2.621
S3_79,1.451,1.158,21.1,0.192,2.464,2.026,-1.603,-0.829
S3_80,0.519,0.68,17.743,0.349,0.901,1.783,-1.276,-1.376
S3_81,1.347,1.051,19.688,0.342,2.956,2.301,-1.469,-1.973
S3_82,1.074,0.698,23.063,0.279,0.723,2.936,-0.644,-1.572
S3_83,1.115,0.74,24.618,0.305,2.524,0.577,-1.981,-2.103
S3_84,0.546,0.713,17.34,0.23,2.155,2.692,-1.375,-1.84
S3_85,0.507,0.591,15.041,0.28,2.133,1.227,-0.21,-0.675
S3_86,0.671,1.453,23.555,0.231,1.393,2.903,-1.395,-0.321
S3_87,1.496,1.229,20.176,0.199,2.332,1.423,-0.495,-2.926
S3_88,0.764,0.895,21.755,0.229,2.149,2.717,-1.034,-2.615
S3_89,0.741,0.969,15.44,0.343,1.603,1.473,-0.32,-2.955
S3_90,1.445,1.018,19.088,0.249,2.772,1.613,-0.165,-1.47
S3_91,1.002,1.065,16.732,0.29,0.817,1.915,-1.475,-1.617
S3_92,0.582,1.132,16.801,0.278,2.177,0.937,-1.941,-1.712
S3_93,0.571,0.821,21.522,0.212,2.146,0.904,-1.549,-0.559
S3_94,1.296,0.768,15.696,0.31,1.552,0.625,-0.512,-1.784
S3_95,1.244,0.636,20.028,0.315,1.936,2.278,-0.335,-2.872
S3_96,1.382,0.761,19.112,0.19,1.237,1.682,-1.916,-2.767
S3_97,1.169,1.155,23.311,0.263,0.779,2.454,-0.476,-1.167
S3_98,1.281,0.977,24.047,0.26,0.625,2.201,-0.714,-0.207
S3_99,1.267,0.847,21.411,0.17,2.363,2.012,-0.141,-2.328
S3_100,1.153,1.299,19.921,0.255,1.741,2.07,-0.508,-2.083
S3_101,1.114,0.923,20.984,0.253,0.504,1.926,-1.364,-0.582
S3_102,1.279,0.621,19.406,0.312,2.893,0.911,-1.827,-2.374
S3_103,0.554,1.125,18.842,0.167,2.227,2.057,-0.433,-2.415
S3_104,0.909,0.54,21.316,0.256,0.795,1.769,-1.6,-1.247
S3_105,0.843,1.49,18.516,0.238,2.804,2.055,-1.324,-0.277
S3_106,0.545,1.033,16.423,0.247,1.958,0.849,-1.544,-1.585
S3_107,0.541,1.006,22.116,0.254,2.415,2.669,-0.886,-0.513
S3_108,0.528,0.83,22.098,0.296,1.634,0.661,-0.445,-2.205
S3_109,1.322,1.294,19.945,0.349,1.078,2.435,-1.201,-0.218
S3_110,1.004,0.508,18.104,0.2,0.893,1.83,-0.725,-2.362
S3_111,0.695,0.782,15.895,0.283,2.353,2.624,-0.389,-1.934
S3_112,0.524,0.58,16.774,0.264,2.885,1.995,-1.427,-2.092
S3_113,1.013,1.14,15.873,0.178,0.841,2.194,-0.526,-2.457
S3_114,0.798,1.331,17.56,0.324,2.6,1.94,-0.716,-0.888
S3_115,1.111,0.778,24.99,0.158,2.508,2.701,-0.694,-1.437
S3_116,0.89,1.214,24.956,0.201,1.004,1.981,-0.399,-3.059
S3_117,1.034,1.274,15.494,0.169,1.971,2.238,-0.326,-0.718
S3_118,1.472,0.825,18.071,0.175,1.77,0.853,-0.156,-0.682
S3_119,1.365,1.347,21.661,0.265,2.322,1.367,-0.437,-1.508
S3_120,1.306,1.233,22.344,0.305,1.309,2.107,-1.811,-2.697
S3_121,0.62,0.669,21.558,0.231,2.938,0.501,-1.288,-1.205
S3_122,0.665,1.36,18.381,0.178,0.623,2.68,-0.394,-2.995
S3_123,0.93,1.461,24.166,0.339,1.385,2.44,-0.271,-2.437
S3_124,1.141,0.957,24.508,0.158,2.757,2.203,-1.882,-3.292
S3_125,0.821,0.776,23.158,0.26,1.801,2.295,-1.66,-0.606
S3_126,1.228,0.971,15.566,0.32,0.916,1.427,-0.706,-1.353
S3_127,0.56,1.067,20.843,0.192,2.088,2.19,-0.664,-0.533
S3_128,1.479,0.877,18.118,0.162,0.675,2.543,-0.482,-1.952
S3_129,1.063,0.813,15.921,0.251,1.79,1.2,-0.201,-1.455
S3_130,0.594,0.909,17.398,0.253,0.539,1.654,-0.94,-2.536
S3_131,0.913,1.395,18.498,0.243,1.028,1.479,-0.203,-2.109
S3_132,0.717,1.367,24.547,0.273,1.592,0.671,-0.721,-2.514
S3_133,0.807,0.599,16.273,0.163,1.382,1.953,-0.678,-0.443
S3_134,1.24,0.934,21.936,0.32,1.647,2.132,-1.783,-0.42
S3_135,1.043,1.125,21.914,0.207,1.094,0.614,-0.95,-0.61
S3_136,0.943,1.291,22.994,0.224,2.831,1.618,-1.09,-0.924
S3_137,0.606,1.163,18.568,0.257,1.509,1.659,-1.961,-1.944
S3_138,1.101,0.582,18.542,0.273,0.641,0.693,-0.345,-0.436
S3_139,1.455,0.915,18.817,0.154,1.571,0.659,-0.687,-2.642
S3_140,0.951,1.068,22.755,0.171,1.943,2.286,-1.681,-1.993
S3_141,0.937,1.255,22.203,0.223,0.577,2.395,-1.282,-0.463
S3_142,1.047,1.268,19.599,0.309,1.172,2.335,-0.227,-1.962
S3_143,0.565,0.737,21.453,0.298,2.911,0.639,-1.247,-2.824
S3_144,1.46,0.898,18.98,0.286,2.281,0.766,-1.148,-3.258
S3_145,0.722,0.833,23.425,0.295,0.961,2.153,-0.313,-0.627
S3_146,1.297,1.081,18.255,0.331,1.463,1.696,-1.297,-0.387
S3_147,1.275,0.827,17.515,0.188,1.764,1.085,-0.98,-0.227
S3_148,1.06,1.48,16.117,0.289,2.638,0.759,-0.621,-1.095
S3_149,1.288,1.477,21.11,0.308,2.721,2.83,-0.738,-0.246
S3_150,0.886,1.217,15.068,0.328,2.446,0.823,-1.657,-1.758
S3_151,1.375,0.792,21.217,0.241,1.425,1.568,-0.672,-2.499
S3_152,0.797,1.169,16.558,0.348,0.98,1.02,-0.146,-1.361
S3_153,1.378,0.649,16.05,0.164,2.317,1.763,-0.8,-1.861
S3_154,0.837,1.401,20.628,0.242,2.995,1.176,-0.322,-0.945
S3_155,0.777,1.369,24.071,0.17,1.738,2.487,-1.317,-1.523
S3_156,0.763,1.028,20.324,0.326,1.918,1.261,-1.877,-0.709
S3_157,0.903,1.088,24.582,0.189,2.199,1.893,-1.467,-1.748
S3_158,0.863,0.986,23.008,0.217,2.826,1.27,-0.475,-1.037
S3_159,0.766,1.036,17.859,0.158,2.53,2.592,-1.889,-1.225
S3_160,0.71,0.879,24.283,0.344,1.05,1.533,-0.372,-0.4
S3_161,1.019,0.929,18.486,0.307,2.181,2.267,-1.775,-3.004
S3_162,1.084,0.612,18.043,0.333,2.95,1.091,-0.386,-2.935
S3_163,0.588,1.277,20.288,0.316,2.187,1.311,-1.705,-2.859
S3_164,1.359,0.563,20.52,0.206,0.52,2.534,-1.409,-0.347
S3_165,0.758,0.557,16.361,0.156,1.593,1.943,-1.012,-2.626
S3_166,1.226,1.487,18.303,0.224,2.709,2.85,-0.674,-0.736
S3_167,1.119,0.749,22.767,0.243,2.418,1.544,-0.133,-2.732
S3_168,1.441,0.999,17.311,0.311,2.517,1.826,-0.287,-0.649
S3_169,1.036,0.568,20.857,0.302,1.363,1.042,-1.612,-3.162
S3_170,1.093,1.327,18.856,0.279,0.993,1.605,-0.125,-1.286
S3_171,1.371,1.042,22.135,0.298,2.584,2.151,-0.912,-1.895
S3_172,1.01,1.232,18.205,0.237,0.69,0.595,-1.79,-2.203
S3_173,0.728,1.465,23.89,0.265,2.541,2.119,-1.996,-2.649
S3_174,1.454,1.187,15.944,0.217,1.079,1.612,-0.262,-2.187
S3_175,1.148,1.365,21.175,0.282,2.221,2.361,-1.258,-0.79
S3_176,0.683,0.77,16.94,0.333,2.014,1.989,-0.417,-1.547
S3_177,1.048,0.995,24.851,0.169,0.984,0.772,-1.954,-2.718
S3_178,1.393,0.889,15.745,0.321,1.035,1.387,-1.508,-1.513
S3_179,0.505,1.138,19.896,0.302,0.794,2.01,-1.115,-1.924
S3_180,0.873,0.611,17.283,0.307,0.925,2.815,-0.142,-2.986
S3_181,0.599,1.215,20.949,0.267,2.048,1.363,-1.636,-3.203
S3_182,0.896,1.27,16.015,0.274,2.814,0.669,-0.623,-1.42
S3_183,1.13,0.989,22.669,0.272,1.877,0.55,-1.498,-2.712
S3_184,0.674,0.678,17.039,0.252,2.237,0.983,-0.568,-2.773
S3_185,0.654,0.505,18.454,0.222,1.015,0.764,-0.588,-2.07
S3_186,0.61,0.667,22.714,0.216,0.56,1.001,-1.481,-2.914
S3_187,0.739,0.883,19.636,0.201,1.449,2.441,-0.666,-3.138
S3_188,1.133,0.872,17.597,0.199,2.871,0.57,-0.728,-3.273
S3_189,1.22,1.106,23.115,0.341,2.452,2.662,-0.6,-2.56
S3_190,1.339,0.747,17.934,0.244,2.308,1.716,-1.964,-3.268
S3_191,0.576,0.522,22.563,0.23,0.551,0.971,-1.574,-2.726
S3_192,0.617,1.197,16.454,0.3,1.211,2.844,-0.585,-1.091
S3_193,0.5,1.227,23.515,0.287,0.655,0.752,-0.296,-2.171
S3_194,1.016,1.258,17.068,0.259,2.787,1.959,-0.162,-2.123
S3_195,1.363,0.57,19.776,0.153,2.575,1.335,-0.897,-1.006
S3_196,1.449,1.172,20.15,0.217,1.364,2.993,-1.756,-2.778
S3_197,1.183,0.726,21.004,0.187,2.702,2.508,-0.355,-0.747
S3_198,1.349,0.793,15.992,0.315,2.941,0.883,-0.844,-0.882
S3_199,1.422,1.361,23.706,0.279,2.068,2.798,-1.477,-1.411
S3_200,0.72,0.806,16.239,0.16,2.651,2.63,-1.897,-2.552
S3_201,1.05,0.881,24.438,0.3,1.941,1.719,-1.794,-2.819
S3_202,0.533,1.142,17.828,0.241,1.188,2.065,-1.383,-0.317
S3_203,0.987,0.994,16.756,0.197,1.447,2.39,-0.107,-0.602
S3_204,0.516,0.694,15.678,0.221,1.677,0.529,-0.292,-0.259
S3_205,0.853,1.219,18.232,0.224,0.85,1.053,-1.109,-1.496
S3_206,1.029,1.133,17.32,0.187,2.74,1.232,-1.525,-0.327
S3_207,0.69,1.459,23.831,0.31,1.814,0.992,-0.861,-0.842
S3_208,1.248,0.534,21.85,0.298,2.823,1.513,-1.272,-1.029
S3_209,0.753,0.711,19.563,0.331,1.752,1.104,-1.645,-1.283
S3_210,1.206,0.989,23.103,0.25,1.307,1.026,-0.544,-1.216
S3_211,1.182,1.491,17.135,0.16,2.862,2.324,-1.76,-1.295
S3_212,0.903,1.01,22.071,0.208,2.791,1.305,-1.18,-0.755
S3_213,0.97,1.44,20.561,0.162,2.032,2.942,-0.503,-2.808
S3_214,1.484,1.057,19.379,0.229,1.617,1.552,-1.673,-2.971
S3_215,1.284,1.271,20.394,0.219,2.503,2.561,-0.985,-2.875
S3_216,0.963,1.136,22.945,0.161,0.946,2.725,-0.591,-2.514
S3_217,1.085,0.523,24.802,0.19,0.725,0.984,-1.809,-0.282
S3_218,1.136,0.829,22.979,0.174,2.3,1.291,-1.138,-0.36
S3_219,0.991,0.811,21.07,0.297,0.651,0.708,-0.574,-2.973
S3_220,1.491,1.475,16.132,0.343,0.785,1.057,-0.196,-2.021
S3_221,1.055,1.108,18.787,0.262,0.87,0.83,-0.604,-1.183
S3_222,0.795,0.945,24.635,0.227,0.672,0.742,-1.519,-2.283
S3_223,0.801,0.942,15.142,0.231,1.632,2.85,-1.969,-0.398
S3_224,0.64,1.434,18.251,0.174,2.535,2.949,-1.557,-1.345
S3_225,1.145,1.284,15.361,0.179,0.645,0.925,-1.617,-2.161
S3_226,0.662,1.193,18.994,0.21,2.688,2.019,-0.223,-1.902
S3_227,1.408,0.763,20.728,0.165,2.8,1.627,-0.824,-1.416
S3_228,0.961,1.007,22.427,0.154,1.753,1.986,-0.212,-1.534
S3_229,1.179,0.589,18.335,0.332,2.212,2.555,-0.61,-1.191
S3_230,0.936,0.96,19.972,0.283,2.841,2.073,-1.825,-2.546
S3_231,0.945,1.104,22.927,0.177,1.284,2.861,-0.439,-1.431
S3_232,0.509,0.547,15.545,0.191,1.519,2.549,-1.217,-1.642
S3_233,1.311,0.78,17.164,0.303,0.807,1.484,-0.798,-2.598
S3_234,1.418,1.247,21.896,0.207,0.999,2.178,-0.616,-1.692
S3_235,1.2,1.169,24.658,0.346,2.818,1.375,-1.905,-2.61
S3_236,0.613,0.79,22.305,0.202,0.813,2.514,-0.19,-2.472
S3_237,0.742,0.94,24.75,0.329,2.885,2.757,-0.65,-0.298
S3_238,0.708,1.43,24.024,0.208,2.21,0.58,-0.17,-0.271
S3_239,1.231,1.191,20.049,0.24,1.199,1.157,-1.937,-1.59
S3_240,1.257,0.514,19.855,0.213,2.294,2.208,-1.228,-1.493
S3_241,0.736,0.915,23.582,0.284,2.498,2.483,-0.158,-0.634
S3_242,0.784,1.32,19.248,0.197,0.766,2.411,-0.538,-1.211
S3_243,0.802,0.624,19.671,0.18,1.011,1.065,-0.351,-0.863
S3_244,1.096,1.382,23.68,0.293,1.831,2.249,-1.622,-3.092
S3_245,0.662,0.874,24.202,0.271,0.971,2.468,-1.143,-2.097
S3_246,1.102,1.472,21.633,0.233,0.595,2.616,-1.357,-1.051
S3_247,0.956,1.397,22.404,0.288,0.531,2.654,-1.192,-1.857
S3_248,0.905,1.416,21.472,0.24,1.198,2.926,-1.022,-3.175
S3_249,0.704,0.688,24.189,0.211,2.628,2.006,-1.747,-2.684
S3_250,0.656,1.013,23.617,0.272,2.266,2.116,-1.353,-1.596
S3_251,1.072,1.202,20.871,0.209,1.953,2.08,-0.818,-3.213
S3_252,1.353,0.646,18.288,0.297,2.007,1.745,-0.757,-1.716
S3_253,1.492,1.309,15.503,0.173,1.478,1.709,-1.244,-2.186
S3_254,0.698,1.353,22.657,0.155,1.95,1.129,-0.454,-0.973
S3_255,1.396,0.965,23.403,0.321,1.904,1.499,-0.834,-2.757
S3_256,1.476,1.298,16.203,0.335,2.34,0.622,-1.579,-2.01
S3_257,1.162,1.393,19.443,0.301,0.556,1.803,-0.689,-0.905
S3_258,0.63,0.906,21.242,0.335,2.632,2.123,-0.558,-2.579
S3_259,0.727,0.955,22.544,0.22,1.759,2.919,-0.185,-2.403
S3_260,1.346,0.869,23.947,0.295,2.255,1.234,-0.484,-2.895
S3_261,1.078,0.509,24.88,0.184,1.408,2.778,-0.959,-3.294
S3_262,1.483,1.203,15.031,0.25,1.491,0.958,-1.041,-1.237
S3_263,1.398,1.456,23.222,0.181,2.667,2.319,-1.57,-1.814
S3_264,0.601,1.061,22.221,0.34,2.962,2.747,-1.804,-1.911
S3_265,0.689,1.332,22.307,0.273,1.856,0.588,-1.737,-1.826
S3_266,0.707,0.63,15.71,0.324,2.978,2.423,-1.072,-3.108
S3_267,0.85,0.604,15.017,0.183,2.926,0.513,-0.458,-2.056
S3_268,1.315,1.302,20.3,0.343,1.347,0.547,-0.76,-3.112
S3_269,1.317,1.311,18.913,0.318,2.169,1.198,-0.77,-1.704
S3_270,1.026,0.945,18.03,0.199,0.604,2.885,-1.484,-1.738
S3_271,1.272,0.571,18.699,0.195,1.415,2.647,-0.182,-1.173
S3_272,1.362,0.715,15.335,0.257,2.084,2.587,-0.657,-0.98
S3_273,1.447,1.07,15.65,0.232,0.61,2.224,-1.155,-0.236
S3_274,0.783,0.786,20.345,0.261,1.193,1.846,-1.973,-1.836
S3_275,0.814,1.481,18.32,0.326,2.662,0.717,-0.919,-0.966
S3_276,1.069,0.56,17.447,0.293,1.222,1.301,-1.205,-0.482
S3_277,1.497,0.979,23.775,0.246,2.673,1.752,-0.812,-2.114
S3_278,1.487,1.019,17.254,0.347,1.579,0.866,-0.782,-2.04
S3_279,1.436,1.385,17.808,0.167,1.333,0.605,-1.65,-2.03
S3_280,1.056,0.735,15.851,0.256,2.743,2.276,-0.889,-0.534
S3_281,0.732,1.357,19.834,0.299,2.967,2.632,-0.775,-2.18
S3_282,0.976,0.529,21.819,0.284,1.526,2.867,-0.312,-1.869
S3_283,0.873,0.686,23.041,0.22,2.761,2.382,-1.236,-1.327
S3_284,0.539,0.684,21.291,0.203,2.428,2.736,-1.868,-3.015
S3_285,0.916,1.262,17.149,0.163,1.182,2.479,-0.379,-1.308
S3_286,0.924,1.095,22.475,0.155,2.348,1.331,-1.26,-1.983
S3_287,1.152,1.027,24.146,0.2,1.833,2.685,-1.703,-3.146
S3_288,1.426,1.281,15.803,0.184,2.991,1.345,-0.421,-1.687
S3_289,0.997,1.423,23.929,0.34,1.612,2.912,-1.45,-0.201
S3_290,0.538,0.909,23.875,0.336,1.242,2.255,-1.835,-0.76
S3_291,1.063,0.635,22.454,0.239,2.081,1.864,-0.448,-1.649
S3_292,1.327,1.436,22.415,0.185,1.12,2.809,-1.734,-2.23
S3_293,0.786,1.13,20.686,0.248,0.749,0.826,-1.831,-1.043
S3_294,1.389,1.418,16.788,0.251,2.165,0.506,-0.247,-2.297
S3_295,0.95,1.147,23.635,0.263,1.257,1.211,-1.421,-1.875
S3_296,0.585,1.323,18.635,0.27,1.003,0.557,-1.326,-2.422
S3_297,1.119,0.53,20.762,0.312,0.709,0.905,-0.251,-1.996
S3_298,0.672,1.102,16.83,0.336,2.099,2.042,-1.341,-2.748
S3_299,1.08,1.159,23.448,0.318,1.103,0.651,-0.851,-0.82
S3_300,0.639,0.732,21.797,0.293,2.698,0.747,-0.789,-2.392
S3_301,1.48,0.886,19.467,0.33,1.137,1.725,-0.868,-1.076
S3_302,1.139,0.572,16.637,0.275,0.668,2.639,-1.84,-2.586
S3_303,0.834,1.145,22.627,0.169,1.265,1.821,-0.634,-1.384
S3_304,1.266,1.445,22.725,0.244,1.712,1.79,-0.931,-1.444
S3_305,1.352,0.852,22.012,0.165,2.249,0.599,-1.405,-2.902
S3_306,0.9,0.951,19.13,0.228,2.566,2.368,-1.002,-0.448
S3_307,0.714,1.496,15.776,0.234,2.12,2.66,-0.938,-1.302
S3_308,1.041,1.375,16.711,0.258,1.371,1.35,-1.434,-1.325
S3_309,1.292,1.162,23.484,0.194,1.866,1.287,-1.373,-1.475
S3_310,0.837,0.816,18.969,0.286,2.766,2.236,-1.787,-1.461
S3_311,1.212,0.925,21.688,0.187,0.838,1.92,-0.741,-2.075
S3_312,0.808,1.19,20.44,0.264,2.391,1.105,-1.532,-2.286
S3_313,1.037,0.584,23.138,0.302,1.483,2.566,-0.956,-3.228
S3_314,0.878,0.999,16.532,0.306,1.41,2.767,-0.27,-0.476
S3_315,1.342,0.884,16.921,0.206,1.561,0.732,-0.12,-3.036
S3_316,0.619,1.166,16.651,0.211,2.268,0.979,-0.366,-2.166
S3_317,0.889,0.843,16.4,0.268,1.263,0.782,-1.196,-1.502
S3_318,1.215,0.526,24.393,0.152,2.131,2.953,-1.652,-2.489
S3_319,1.385,1.428,20.455,0.183,2.242,0.646,-1.023,-0.683
S3_320,1.107,1.076,23.277,0.242,1.278,1.44,-1.018,-1.373
S3_321,0.559,1.04,22.281,0.213,2.486,2.689,-0.784,-1.676
S3_322,0.659,0.513,24.58,0.313,2.59,1.071,-0.619,-2.322
S3_323,0.573,0.708,20.807,0.277,2.36,1.861,-1.751,-2.397
S3_324,1.058,0.701,18.939,0.329,1.342,0.951,-1.979,-2.789
S3_325,0.94,0.947,17.709,0.327,2.002,0.797,-0.135,-1.339
S3_326,1.38,1.186,17.274,0.345,2.837,2.184,-1.454,-1.335
S3_327,1.387,1.305,15.316,0.183,0.526,1.079,-1.99,-1.553
S3_328,1.207,0.865,21.575,0.299,2.685,2.732,-1.726,-1.54
S3_329,1.209,1.039,24.538,0.155,0.896,1.573,-1.318,-1.147
S3_330,0.693,1.495,15.821,0.218,1.159,1.774,-0.943,-3.168
S3_331,1.031,0.607,22.569,0.165,1.722,1.354,-0.803,-1.163
S3_332,0.718,0.576,22.238,0.291,1.248,1.382,-1.858,-0.639
S3_333,0.596,1.109,24.718,0.247,2.438,1.216,-0.571,-1.002
S3_334,0.749,0.863,20.0,0.16,2.433,2.619,-0.864,-0.835
S3_335,0.913,1.279,16.345,0.317,1.397,1.74,-0.523,-1.255
S3_336,1.391,0.851,15.39,0.213,0.954,1.669,-0.736,-0.499
S3_337,1.128,0.592,24.275,0.221,2.116,2.127,-1.428,-0.796
S3_338,0.635,1.322,21.594,0.166,1.728,0.535,-0.55,-2.197
S3_339,0.555,0.968,20.372,0.294,2.067,2.221,-1.526,-2.965
S3_340,1.333,0.65,15.909,0.208,0.744,2.341,-1.033,-0.37
S3_341,1.198,0.755,21.958,0.29,1.88,2.459,-1.459,-1.706
S3_342,0.779,1.021,17.114,0.292,2.607,2.989,-1.696,-0.38
S3_343,1.091,1.371,15.96,0.193,2.932,1.644,-0.401,-2.95
S3_344,0.514,0.535,20.493,0.334,1.81,1.47,-1.06,-1.022
S3_345,1.156,1.212,15.178,0.182,1.822,1.416,-0.218,-2.564
S3_346,1.141,0.54,18.431,0.177,2.561,1.432,-1.562,-2.785
S3_347,1.43,1.404,19.531,0.227,1.43,1.853,-0.304,-2.483
S3_348,0.569,1.056,21.048,0.289,1.092,0.777,-1.089,-0.705
S3_349,1.259,0.503,15.277,0.327,0.923,2.957,-1.817,-3.139
S3_350,1.489,1.242,23.974,0.276,1.774,1.967,-0.331,-0.657
S3_351,1.144,0.788,15.188,0.255,2.642,0.943,-1.777,-1.743
S3_352,1.27,1.275,16.668,0.287,2.303,2.365,-1.308,-0.741
S3_353,1.437,0.543,20.939,0.233,1.69,0.63,-1.591,-1.615
S3_354,0.954,1.113,15.293,0.159,1.132,0.736,-0.808,-1.464
S3_355,0.735,0.808,17.973,0.186,1.02,2.372,-1.21,-2.531
S3_356,0.73,0.856,15.409,0.212,0.636,2.791,-1.723,-0.363
