"scenario","US_phase_pol","US_price_pol","US_cp_pol","CN_phase_pol","CN_price_pol","CN_cp_pol","IN_phase_pol","IN_price_pol","IN_cp_pol","RGS_phase_pol","RGS_price_pol","RGS_cp_pol","RGN_phase_pol","RGN_price_pol","RGN_cp_pol","learning_solar","learning_wind","lifetime_solar","lifetime_wind","lead_onshore","lead_solar","lead_commission","cr_wind","cr_solar","discr","elec_demand","ccgt_price","coal_price","tech_potential"
"S3_12",0.35,0.75,0.12,0.9,0.78,0.07,0.02,0.38,0.53,0.32,0.72,0.11,0.28,0.55,0.78,0.569767441860465,0.871951219512195,0.9763,0.6911,0.753,0.6215,0.798,0.419753086419753,0.283627204030227,0.388,0.994,0.47,0.16,0.361
"S3_13",0.51,0.31,0.42,0.56,0.67,0.21,0.38,0.63,0.22,0.65,0.38,0.4,0.61,0.41,0.28,0.505813953488372,0.0548780487804879,0.8701,0.3882,0.253,0.734,0.912,0.294238683127572,0.156675062972292,0.009,0.694,0.45,0.368,0.95
"S3_14",0.85,0.73,0.09,0.07,0.02,0.39,0.41,0.6,0.33,0.2,0.37,0.38,0.89,0.8,0.98,0.622093023255814,0.835365853658536,0.6791,0.788,0.722,0.61,0.515,0.547325102880658,0.803022670025189,0.577,0.148,0.629,0.411,0.633
"S3_15",0.45,0.69,0.84,0.13,0.13,0.63,0.73,0.45,0.19,0.5,0.7,0.94,0.14,0.73,0.75,0.441860465116279,0.920731707317073,0.7315,0.473,0.992,0.961,0.38,0.448559670781893,0.769773299748111,0.555,0.994,0.863,0.608,0.888
"S3_16",0.42,0.85,0.57,0.97,0.35,0.22,0.61,0.58,0.17,0.73,0.4,0.6,0.67,0.3,0.62,0.296511627906976,0.695121951219512,0.4848,0.9107,0.876,0.1545,0.352,0.436213991769547,0.672040302267003,0.784,0.313,0.632,0.309,0.088
"S3_17",0.58,0.95,0.58,0.02,0.55,0.06,0,0.26,0.05,0.94,0.96,0.48,0.93,0.63,0.92,0.813953488372093,0.0731707317073171,0.0262,0.4953,0.4,0.534,0.68,0.327160493827161,0.388413098236776,0.211,0.193,0.755,0.555,0.857
"S3_18",0.87,0.37,0.84,0.24,0.07,0.72,0.2,0.38,0.93,0.26,0.6,0.26,0.8,0.97,0.55,0.895348837209302,0.0853658536585367,0.8162,0.1962,0.261,0.148,0.998,0.54320987654321,0.339546599496222,0.347,0.863,0.688,0.863,0.409
"S3_19",0.19,0.22,0.95,0.03,0.83,0.67,0.63,0.74,0.86,0.91,0.14,0.12,0.34,0.94,0.38,0.767441860465116,0.951219512195122,0.5325,0.7733,0.31,0.8935,0.85,0.0781893004115227,0.489168765743073,0.013,0.866,0.726,0.646,0.235
"S3_20",0.32,0.78,0.38,0.45,0.66,0.69,0.07,0.33,0.3,0.54,0.13,0.54,0.76,0.03,0.19,0.0174418604651161,0.536585365853659,0.1322,0.8172,0.533,0.1855,0.067,0.744855967078189,0.790428211586902,0.476,0.663,0.116,0.506,0.589
"S3_21",0.99,0.83,0.35,0.05,0.68,0.66,0.24,0.55,0.01,0.28,0.55,0.64,0.72,0.63,0.65,0.232558139534884,0.378048780487805,0.345,0.7937,0.0699999999999998,0.756,0.92,0.454732510288066,0.135012594458438,0.604,0.486,0.245,0.864,0.49
"S3_22",0.32,0.24,0.04,0.75,0.65,0.61,0.25,0.36,0.64,0.99,0.35,0.74,0.74,0.3,0.02,0.0930232558139534,0.432926829268293,0.2537,0.422,0.00099999999999989,0.8655,0.283,0.207818930041152,0.816624685138539,0.708,0.238,0.109,0.887,0.285
"S3_23",0.9,0.88,0.75,0.19,0.72,0.45,0.89,0,0.44,0.69,0.44,0.67,0.5,0.84,0.29,0.558139534883721,0.75,0.6926,0.2313,0.765,0.521,0.602,0.199588477366255,0.965743073047859,0.511,0.13,0.251,0.5,0.084
"S3_24",0.37,0.25,0.87,0.09,0.34,0.84,0.86,0.56,0.34,0.79,0.25,0.72,0.74,0.69,0.89,0.168604651162791,0.945121951219512,0.0401,0.5261,0.952,0.767,0.755,0.672839506172839,0.446347607052897,0.567,0.96,0.384,0.564,0.175
"S3_25",0.49,0.92,0.51,0.38,0.86,0.33,0.57,0.93,0.75,0.08,0.7,0.1,0.49,0.43,0.97,0.709302325581395,0.0975609756097562,0.2811,0.00229999999999997,0.247,0.672,0.948,0.123456790123457,0.718891687657431,0.794,0.357,0.271,0.6,0.068
"S3_26",0.46,0.93,0.22,0.83,0.04,0.87,0.24,0.36,0.36,0.88,0.84,0.93,0.07,0.34,0.18,0.418604651162791,0.542682926829268,0.9651,0.4915,0.136,0.2425,0.13,0.78395061728395,0.523929471032746,0.246,0.246,0.825,0.004,0.513
"S3_27",0.58,0.4,0.16,0.33,0.57,0.75,0.02,0.27,0.49,0.93,0.87,0.89,0.55,0.54,0.73,0.372093023255814,0.786585365853658,0.3028,0.1778,0.267,0.0625,0.848,0.818930041152263,0.979345088161209,0.961,0.464,0.028,0.848,0.863
"S3_28",0.47,0.49,0.61,0.25,0.43,0.63,0.25,0.15,0.32,0.31,0.53,0.47,0.17,0.14,0.11,0.819767441860465,0.213414634146341,0.8003,0.5381,0.737,0.976,0.767,0.989711934156378,0.113853904282116,0.816,0.259,0.591,0.288,0.052
"S3_29",0.84,0.71,0.17,0.04,0.6,0.25,0.2,0.08,0.44,0.14,0.88,0.46,0.77,0.03,0.19,0.488372093023256,0.152439024390244,0.2194,0.0469000000000001,0.0299999999999998,0.736,0.689,0.0329218106995885,0.0795969773299748,0.988,0.787,0.854,0.687,0.414
"S3_30",0.29,0.2,0.7,0.06,0.98,0.15,0.45,0.63,0.38,0.21,0.11,0.89,0.15,0.91,0.45,0.732558139534883,0.969512195121951,0.9983,0.1318,0.153,0.8825,0.584,0.160493827160494,0.823173803526448,0.833,0.245,0.609,0.43,0.764
"S3_31",0.5,0,0.03,0.86,0.27,0.24,0.61,0.48,0.36,0.34,0,0.98,0.75,0.04,0.6,0,0.591463414634146,0.2387,0.425,0.926,0.4835,0.928,0.753086419753086,0.0473551637279598,0.764,0.437,0.098,0.18,0.203
"S3_32",0.14,0.08,0.38,0.65,0.31,0.25,0.4,0.35,0.89,0.48,0.37,0.64,0.09,0.44,0.38,0.0639534883720929,0.323170731707317,0.8148,0.5259,0.359,0.48,0.247,0.304526748971193,0.84382871536524,0.533,0.758,0.72,0.93,0.614
"S3_33",0.74,0.73,0.07,0.99,0.25,0.51,0.19,0.1,0.76,0.21,0.55,0.84,1,0.52,0.36,0.883720930232558,0.75,0.2018,0.566,0.438,0.7585,0.823,0.796296296296296,0.436272040302267,0.508,0.524,0.54,0.26,0.814
"S3_34",0.38,0.87,0.97,0.18,0.14,0.87,0.34,0.85,0.34,0.8,0.26,0.56,0.62,0,0.74,0.0813953488372092,0.585365853658536,0.7444,0.2616,0.998,0.986,0.65,0.102880658436214,0.977329974811083,0.661,0.337,0.412,0.062,0.46
"S3_35",0.86,0.83,0.79,0.41,0.05,0.46,0.76,0.62,0.77,0.42,0.08,0.47,0.98,0.84,0.36,0.790697674418605,0.573170731707317,0.525,0.4413,0.373,0.015,0.859,0.551440329218107,0.0433249370277079,0.86,0.332,0.602,0.526,0.397
"S3_36",0.7,0.97,0.47,0.16,0.23,0.67,0.41,0.86,0.5,0.84,0.79,0.19,0.83,0.9,0.68,0.267441860465116,0.304878048780488,0.6168,0.3422,0.145,0.9175,0.304,0.825102880658436,0.714357682619647,0.333,0.1,0.297,0.227,0.824
"S3_37",0.63,0.74,0.42,0.61,0.95,0.34,0.32,0.11,0.6,0.42,0.66,0.25,0.48,0.08,0.87,0.680232558139535,0.0487804878048781,0.1855,0.7173,0.298,0.1875,0.809,0.944444444444444,0.724433249370277,0.649,0.189,0.311,0.117,0.757
"S3_38",0.67,0.75,0.01,0.63,0.37,0.15,0.27,0.18,0.01,0.52,0.27,0.56,0.55,0.17,0.91,0.645348837209302,0.170731707317073,0.3389,0.9309,0.632,0.4585,0.011,0.679012345679012,0.542569269521411,0.15,0.5,0.406,0.391,0.127
"S3_39",0.5,0.35,0.85,0.14,0.4,0.85,0.79,0.9,0.09,0.9,0.62,0.59,0.84,0.68,0.77,0.465116279069767,0.371951219512195,0.6977,0.0263000000000002,0.3,0.337,0.51,0.973251028806584,0.4272040302267,0.591,0.275,0.261,0.433,0.244
"S3_40",0.71,0.48,0.21,0.72,0.89,0.32,0.16,0.39,0.47,0.05,0.59,0.19,0.22,0.96,0.58,0.651162790697674,0.481707317073171,0.3623,0.625,0.498,0.5535,0.939,0.283950617283951,0.279596977329975,0.901,0.387,0.221,0.533,0.926
"S3_41",0.56,0.86,0.4,0.24,0.99,0.11,0.43,0.78,0.96,0.19,0.67,0.18,0.37,0.77,0.4,0.0813953488372092,0.5,0.6825,0.5145,0.756,0.623,0.52,0.567901234567901,0.23727959697733,0.851,0.262,0.359,0.171,0.08
"S3_42",0.92,0.45,0.9,0.77,0.04,0.72,0.75,0.94,0.44,0.9,0.57,0.54,0.23,0.52,0.17,0.802325581395349,0.932926829268293,0.6504,0.3529,0.988,0.4125,0.484,0.952674897119341,0.0322418136020152,0.181,0.459,0.834,0.52,0.027
"S3_43",0.42,0.35,0.04,0.8,0.93,0.88,0.36,0.15,0.04,0.38,0.78,0.25,0.08,0.16,0.55,0.534883720930233,0.829268292682927,0.5754,0.3168,0.743,0.993,0.977,0.995884773662551,0.334005037783375,0.092,0.01,0.477,0.255,0.954
"S3_44",0.46,0.97,0.03,0.37,0.9,0.7,0.91,0.93,0.24,1,0.67,0.42,0.65,0.52,0.96,0.418604651162791,0.317073170731707,0.2112,0.6343,0.414,0.079,0.685,0.532921810699588,0.692191435768262,0.564,0.444,0.537,0.434,0.726
"S3_45",0.06,0.84,0.25,0.77,0.03,0.63,0.45,0.29,0.03,0.13,0.21,0.71,0.58,0.05,0.73,0.982558139534884,0.853658536585366,0.8074,0.9438,0.044,0.2635,0.55,0.81275720164609,0.70831234256927,0.334,0.572,0.41,0.597,0.145
"S3_46",0.08,0.08,0.16,0.52,0.56,0.51,0.95,0.86,0.84,0.9,0.06,0.17,0.32,0.59,0.91,0.296511627906976,0.195121951219512,0.6658,0.0937999999999999,0.334,0.1065,0.952,0.921810699588477,0.559697732997481,0.489,0.206,0.185,0.377,0.621
"S3_47",0.21,0.63,0.64,0.12,0.16,0.31,0.98,0.45,0.3,0.12,0.22,0.17,0.91,0.72,0.12,0.837209302325581,0.762195121951219,0.2204,0.6589,0.0990000000000002,0.8275,0.523,0.804526748971193,0.553148614609572,0.737,0.045,0.364,0.472,0.994
"S3_48",0.09,0.85,0.96,0.99,0.38,0.24,0.87,0.66,0.17,0.59,0.7,0.73,0.81,0,0.54,0.377906976744186,0.945121951219512,0.1965,0.3381,0.176,0.26,0.369,0.209876543209876,0.674055415617129,0.927,0.933,0.997,0.211,0.045
"S3_49",1,0.58,0.74,0.27,0.12,0.68,0.06,0.04,0.91,0.32,0.99,0.35,0.1,0.36,0.34,0.924418604651163,0.128048780487805,0.3006,0.1571,0.305,0.506,0.015,0.681069958847736,0.383375314861461,0.63,0.578,0.285,0.976,0.092
"S3_50",0.01,0.38,0.25,0.9,0.11,0.41,0.2,0.6,0.85,0.25,0.68,0.81,0.96,0.13,0.44,0.0465116279069766,0.0975609756097562,0.3996,0.6401,0.411,0.7655,0.362,0.738683127572016,0.607052896725441,0.711,0.689,0.811,0.2,0.18
"S3_51",0.53,0.42,0.93,0.31,0.12,0.26,0.3,0.89,0.44,0.22,0.16,0.81,0.3,0.2,0.36,0.63953488372093,0.359756097560976,0.5957,0.982,0.281,0.7615,0.872,0.746913580246913,0.365239294710328,0.782,0.391,0.956,0.838,0.231
"S3_52",0.62,0.02,0.77,0.08,0.39,0.21,0.94,0.56,0.19,0.58,0.32,0.82,0.47,0.07,0.17,0.482558139534884,0.26219512195122,0.6521,0.5668,0.818,0.816,0.026,0.12962962962963,0.318891687657431,0.636,0.677,0.576,0.452,0.473
"S3_53",0.78,0.44,0.52,0.26,0.18,0.88,0.1,0.62,0.75,0.04,0.38,0.17,0.05,0.07,0.08,0.604651162790698,0.75,0.0431000000000001,0.9571,0.293,0.529,0.959,0.364197530864198,0.969269521410579,0.284,0.225,0.114,0.24,0.778
"S3_54",0.5,0.64,0.92,0.25,0.8,0.26,0.46,0.7,0.79,0.53,0.33,0,0.39,0.88,0.2,0.744186046511628,0.963414634146341,0.9741,0.4432,0.82,0.0365,0.789,0.382716049382716,0.258942065491184,0.081,0.34,0.661,0.119,0.608
"S3_55",0.74,0.2,0.57,0.55,0.86,0.1,0.94,0.55,0.26,0.02,0.81,0.14,0.78,0.94,0.1,0.290697674418604,0.231707317073171,0.2327,0.0128,0.962,0.375,0.753,0.417695473251029,0.751133501259446,0.614,0.096,0.508,0.358,0.191
"S3_56",0.07,0.01,0.62,0.23,0.61,0.79,0.62,0.06,0.04,0.86,0.96,0.02,0.95,0.5,0.45,0.0581395348837208,0.579268292682927,0.2463,0.122,0.687,0.838,0.614,0.683127572016461,0.834760705289673,0.365,0.559,0.047,0.115,0.747
"S3_57",0.37,0.9,1,0.72,0.94,0.52,0.84,0.72,0.66,0.77,0.19,0.99,0.04,0.37,0.71,0.453488372093023,0.201219512195122,0.0731999999999999,0.637,0.426,0.0115,0.228,0.462962962962963,0.17632241813602,0.904,0.367,0.903,0.964,0.76
"S3_58",0.76,0.29,0.53,0.07,0.32,0.02,0.95,0.91,0.02,0.83,0.16,0.28,0.73,0.5,0.71,0.953488372093023,0.908536585365854,0.1485,0.4482,0.0670000000000002,0.721,0.912,0.325102880658436,0.632745591939547,0.225,0.534,0.428,0.711,0.218
"S3_59",0.84,0.35,0.71,0.24,0.05,0.56,0.03,0.46,0.09,0.29,0.04,0.92,0.62,0.86,0.12,0.0988372093023255,0.323170731707317,0.0556000000000001,0.1067,0.162,0.7235,0.83,0.0884773662551441,0.636775818639799,0.222,0.393,0.04,0.428,0.295
"S3_60",0.22,0.09,0.07,0.12,0.21,0.59,0.72,0.34,0.67,0.93,0.42,0.7,0.56,0.95,0.5,0.255813953488372,0.871951219512195,0.8776,0.5984,0.968,0.184,0.773,0.483539094650206,0.712342569269522,0.362,0.691,0.266,0.756,0.808
"S3_61",0.68,0.22,0.86,0.82,0.33,0.89,0.85,0.71,0.32,0.07,0.86,0.79,0.06,0.98,0.39,0.145348837209302,0.50609756097561,0.6675,0.0908000000000001,0.61,0.2985,0.038,0.349794238683128,0.262468513853904,0.349,0.823,0.865,0.782,0.56
"S3_62",0.54,0.75,0.64,0.93,0.56,0.44,0.24,0.68,0.77,0.24,0.93,0.4,0.12,0.04,0.83,0.674418604651163,0.634146341463415,0.8212,0.3187,0.5,0.114,0.74,0.541152263374486,0.312846347607053,0.399,0.876,0.772,0.312,0.253
"S3_63",0.6,0.59,0.65,0.09,0.63,0.52,0.42,0.19,0.95,0.66,0.29,0.53,0.38,0.49,0.58,0.662790697674418,0.50609756097561,0.5596,0.6614,0.28,0.94,0.136,0.166666666666667,0.496725440806046,0.483,0.882,0.456,0.235,0.377
"S3_64",0.3,0.57,0.84,0,0.79,0.58,0.88,0.1,0.9,0.73,0.78,0.28,0.26,0.68,0.01,0.866279069767442,0.713414634146341,0.6437,0.9636,0.726,0.6545,0.056,0.04320987654321,0.88463476070529,0.404,0.581,0.603,0.524,0.816
"S3_65",0.28,0.88,0.78,0.14,0.08,0.6,0.14,0.14,0.36,0.28,0.81,0.7,0.55,0.58,0.69,0.191860465116279,0.640243902439024,0.9628,0.2324,0.04,0.0645,0.188,0.0761316872427984,0.401511335012595,0.282,0.831,0.606,0.124,0.98
"S3_66",0.39,0.47,0.31,0.71,0.49,0.93,0.9,0.2,0.25,0.17,0.23,0.45,0.93,0.45,0.9,0.209302325581395,0.451219512195122,0.8243,0.4814,0.574,0.5965,0.444,0.125514403292181,0.198488664987406,0.539,0.926,0.882,0.499,0.347
"S3_67",0,0.94,0.59,0.44,0.67,0.65,0.12,0.2,0.56,0.59,0.05,0.92,0.8,0.06,0.85,0.924418604651163,0.780487804878049,0.6716,0.8963,0.515,0.002,0.323,0.222222222222222,0.407556675062972,0.806,0.783,0.243,0.374,0.172
"S3_68",0.23,0.58,0.11,0.06,0.02,0.44,0.4,0.53,0.41,0.23,0.9,0.61,0.34,0.8,0.38,0.0523255813953487,0.731707317073171,0.5121,0.6202,0.916,0.173,0.738,0.765432098765432,0.226700251889169,0.53,0.066,0.277,0.05,0.129
"S3_69",0.59,0.12,0.85,0.66,0.55,0.36,0.48,0.81,0.05,0.7,0.04,0.43,0.92,0.45,0.15,0.337209302325581,0.609756097560975,0.9844,0.9921,0.968,0.678,0.314,0.781893004115226,0.941561712846348,0.476,0.404,0.759,0.266,0.653
"S3_70",0.71,0.3,0.29,0.15,0.32,0.75,0.41,0.74,0.64,0.38,0.87,0.48,0.04,0.64,0.21,0.197674418604651,0.98780487804878,0.1432,0.5344,0.718,0.628,0.846,0.728395061728395,0.824181360201511,0.827,0.022,0.065,0.272,0.249
"S3_71",0.63,0.13,0.49,0.23,0.67,0,0.36,0.03,0.15,0.25,0.63,0.75,0.26,0.25,0.22,0.947674418604651,0.670731707317073,0.4127,0.5496,0.644,0.5895,0.425,0.635802469135802,0.500251889168766,0.061,0.494,0.815,0.447,0.478
"S3_72",0.44,0.28,0.92,0.92,0.68,0.7,0.88,0.27,0.04,0.97,0.93,0.6,0.82,0.97,0.57,0.162790697674419,0.176829268292683,0.1364,0.6825,0.441,0.9515,0.558,0.267489711934156,0.799496221662469,0.019,0.734,0.957,0.56,0.972
"S3_73",0.94,0.45,0.22,0.72,0.02,0.11,0.26,0.12,0.12,0.02,0.92,0.57,0.39,0.76,0.77,0.901162790697674,0.024390243902439,0.4909,0.8323,0.567,0.5635,0.986,0.176954732510288,0.129471032745592,0.177,0.792,0.831,0.431,0.874
"S3_74",0.68,0.22,0.75,0.22,0.97,0.01,0.88,0.24,0.51,0.43,0.84,0.67,0.84,0.79,0.3,0.279069767441861,0.603658536585366,0.3213,0.9872,0.647,0.881,0.451,0.432098765432099,0.0418136020151134,0.581,0.964,0.665,0.731,0.113
"S3_75",0.13,0.51,0.64,0.38,0.8,0.5,0.77,0.72,0.12,0.63,0.6,0.67,0.47,0.41,0.31,0.604651162790698,0.121951219512195,0.5472,0.239,0.609,0.00849999999999995,0.117,0.522633744855967,0.438287153652393,0.438,0.731,0.443,0.512,0.154
"S3_76",0.99,0.79,0.01,0.52,0.13,1,0.11,0.32,0.93,0.4,0.39,0.58,0.01,0.89,0.84,0.430232558139535,0.103658536585366,0.0981999999999999,0.0187999999999999,0.889,0.09,0.146,0.734567901234568,0.189420654911839,0.547,0.311,0.988,0.635,0.471
"S3_77",0.03,0.6,0.58,0.76,0.81,0.57,0.31,0.49,0.15,0.8,0.08,0.44,0.64,0.95,0.59,0.011627906976744,0.853658536585366,0.4808,0.9124,0.731,0.8055,0.862,0.907407407407407,0.0156171284634762,0.766,0.931,0.632,0.325,0.339
"S3_78",0.54,0.36,0.45,0.85,0.59,0.21,0.45,0.65,0.17,0.04,0.08,0.25,0.54,0.21,0.39,0.133720930232558,0.73780487804878,0.4451,0.3833,0.644,0.4035,0.489,0.555555555555555,0.609571788413098,0.486,0.371,0.846,0.098,0.386
"S3_79",0.26,0.89,0.6,0.18,0.5,0.18,0.4,0.31,0.95,0.61,0.95,0.72,0.42,0.15,0.89,0.22093023255814,0.0548780487804879,0.4324,0.5737,0.0339999999999998,0.4215,0.497,0.895061728395061,0.872040302267003,0.597,0.445,0.684,0.773,0.244
"S3_80",0.36,0.87,0.68,0.64,0.15,0.97,0.95,0.95,0.43,0.8,0.21,0.99,0.6,0.44,0.93,0.569767441860465,0.689024390243902,0.3105,0.462,0.372,0.109,0.176,0.946502057613169,0.0710327455919395,0.104,0.847,0.516,0.486,0.787
"S3_81",0.07,0.56,0.63,0.99,0.7,0.32,0.82,0.04,0.31,0,0.99,0.01,0.85,0.85,0.6,0.77906976744186,0.121951219512195,0.1403,0.4375,0.621,0.3415,0.103,0.530864197530864,0.00554156171284637,0.015,0.727,0.461,0.338,0.96
"S3_82",0.05,0.52,0.12,0.61,0.59,0.08,0.06,0.23,0.83,0.04,0.77,0.26,0.44,0.47,0.44,0.848837209302325,0.560975609756097,0.4063,0.9765,0.354,0.821,0.905,0.183127572016461,0.860453400503778,0.282,0.794,0.91,0.629,0.802
"S3_83",0.73,0.01,0.08,0.01,0.43,0.46,0.82,0.85,0.58,0.73,0.11,0.32,0.56,0.07,0.11,0.0639534883720929,0.841463414634146,0.1108,0.6921,0.851,0.686,0.065,0.565843621399177,0.337027707808564,0.543,0.179,0.375,0.537,0.326
"S3_84",0.69,0.05,0.14,0.37,0.33,0.09,0.07,0.49,0.51,0.07,0.83,0.13,0.71,0.34,0.49,0.267441860465116,0.439024390243902,0.3242,0.6027,0.612,0.0455,0.573,0.771604938271605,0.892695214105794,0.956,0.508,0.159,0.744,0.383
"S3_85",0.25,0.55,0.79,0.58,0.4,0.81,0.93,0.71,0.2,0.24,0.96,0.76,0.1,0.53,0.6,0.337209302325581,0.920731707317073,0.7434,0.0163,0.673,0.8955,0.792,0.362139917695473,0.578337531486146,0.495,0.628,0.945,0.993,0.519
"S3_86",0.27,0.89,0.47,0.36,0.64,0.42,0.89,0.83,0.17,0.17,0.44,0.16,0.43,0.13,0.04,0.348837209302325,0.390243902439024,0.5307,0.4024,0.664,0.494,0.013,0.483539094650206,0.322921914357683,0.514,0.018,0.054,0.849,0.638
"S3_87",0.42,0.13,0.42,0.65,0.88,0.35,0.78,0.97,0.18,0.48,0.81,0.95,0.54,0.6,0.37,0.738372093023256,0.24390243902439,0.7203,0.5055,0.566,0.7895,0.529,0.477366255144033,0.710327455919396,0.674,0.078,0.466,0.735,0.223
"S3_88",0.28,0.64,0.56,0.87,0.47,0.97,0.06,0.61,0.02,0.21,0.15,0.22,0.36,0.62,0.1,0.0348837209302324,0.719512195121951,0.7853,0.8045,0.782,0.6635,0.156,0.537037037037037,0.702770780856423,0.786,0.128,0.322,0.272,0.193
"S3_89",0.2,0.94,0.72,0.97,0.55,0.17,0.57,0.79,0.83,0.74,0.54,0.03,0.84,0.91,0.62,0.854651162790698,0.317073170731707,0.4438,0.7089,0.211,0.664,0.36,0.283950617283951,0.591435768261965,0.671,0.083,0.131,0.036,0.946
"S3_90",0.53,0.82,0.87,0.67,0.1,0.19,0.68,0.89,0.67,0.13,0.49,1,0.19,0.62,0.37,0.122093023255814,0.774390243902439,0.1211,0.6659,0.658,0.1445,0.041,0.0370370370370371,0.0241813602015114,0.023,0.681,0.668,0.957,0.9
"S3_91",0.22,0.46,0.85,0.24,0.03,0.03,0.09,0.88,0.48,0.56,0.32,0.5,0.24,0.64,0.52,0.418604651162791,0.951219512195122,0.7494,0.0975999999999999,0.627,0.1,0.717,0.703703703703703,0.6272040302267,0.557,0.424,0.913,0.736,0.404
"S3_92",0.36,0.88,0.71,0.48,0.73,0.11,0.47,0.48,0.27,0.6,0.46,0.96,0.64,0.23,0.09,0.0406976744186045,0.024390243902439,0.1183,0.7901,0.367,0.936,0.272,0.179012345679012,0.355667506297229,0.481,0.879,0.761,0.066,0.564
"S3_93",0.6,0.1,0.69,0.66,0.04,0.4,0.35,0.88,0.16,0.99,0.95,0.05,0.87,0.93,0.72,0.11046511627907,0.640243902439024,0.0702000000000002,0.5941,0.0419999999999998,0.898,0.732,0.775720164609053,0.266498740554156,0.958,0.35,0.254,0.677,0.563
"S3_94",0.34,0.36,0.36,0.46,0.14,0.67,0.15,0.98,0.52,0.24,0.41,0,0.41,0.26,0.09,0.0290697674418603,0.74390243902439,0.5777,0.9091,0.309,0.372,0.928,0.637860082304527,0.863979848866499,0.655,0.479,0.715,0.606,0.729
"S3_95",0.74,0.28,0.28,0.19,0.91,0.62,0.26,0.81,0.09,0.64,0.61,0.51,0.91,0.46,0.28,0.558139534883721,0.128048780487805,0.987,0.1151,0.398,0.3455,0.144,0.724279835390946,0.317884130982368,0.071,0.317,0.546,0.898,0.024
"S3_96",0.04,0.72,0.34,0.99,0.37,0.78,0.77,0.1,0.88,0.41,0.67,0.41,0.61,0.64,0.8,0.348837209302325,0.0914634146341464,0.2782,0.6077,0.272,0.579,0.02,0.738683127572016,0.911335012594459,0.838,0.953,0.23,0.824,0.82
