run,year,MEWDH,PRICH,METC,MTCD,cost_roof,cost_grid,std_roof,std_grid,share,MEWG,MEWL,MEWK,MEWS,total_cap,non_rooftop_cap,rooftop_cap_share
selfcons_minus,2039,7676.16,3458.17,22.2492,6.16518,-1524.31,0.0,6.18468,0.0,0.981194,87594.9,0.13905,71.8662,0.2338,307.384,235.518,0.2338
selfcons_minus,2040,7880.21,3534.68,21.6006,5.98547,-1573.63,0.0,6.00315,0.0,0.985293,90299.0,0.13905,74.0852,0.227924,325.044,250.959,0.227924
selfcons_minus,2041,8092.63,3613.16,20.978,5.81295,-1623.61,0.0,5.82927,0.0,0.988509,93035.8,0.139049,76.3311,0.222187,343.544,267.213,0.222187
selfcons_minus,2042,8313.37,3693.49,20.3844,5.64845,-1674.16,0.0,5.66373,0.0,0.991028,95817.0,0.139049,78.6133,0.216466,363.168,284.554,0.216466
selfcons_minus,2043,8542.41,3775.66,19.8601,5.50318,-1724.74,0.0,5.51735,0.0,0.992998,98652.6,0.139049,80.9403,0.210595,384.34,303.4,0.210595
selfcons_minus,2044,8779.88,3860.23,19.3628,5.36537,-1776.22,0.0,5.37852,0.0,0.994539,101552.0,0.139048,83.3199,0.204338,407.756,324.436,0.204338
selfcons_minus,2045,9025.7,3946.67,18.8443,5.2217,-1828.97,0.0,5.23388,0.0,0.995742,104522.0,0.139048,85.7568,0.197423,434.38,348.623,0.197423
selfcons_minus,2046,9279.92,4035.35,18.3654,5.089,-1882.37,0.0,5.10031,0.0,0.99668,107567.0,0.139048,88.2558,0.188055,469.309,381.053,0.188055
selfcons_minus,2047,9542.64,4126.24,17.9129,4.96361,-1936.56,0.0,4.97425,0.0,0.997413,110694.0,0.139048,90.8212,0.161178,563.484,472.663,0.161178
selfcons_minus,2048,9813.96,4219.45,17.4827,4.84442,-1991.68,0.0,4.85442,0.0,0.997984,113906.0,0.139048,93.4566,0.134913,692.717,599.261,0.134913
selfcons_minus,2049,10094.0,4315.13,17.0619,4.72781,-2047.97,0.0,4.73721,0.0,0.998429,117209.0,0.139047,96.1667,0.134945,712.636,616.469,0.134945
selfcons_minus,2050,10382.9,4413.15,16.6976,4.62686,-2104.73,0.0,4.63567,0.0,0.998776,120606.0,0.139047,98.9543,0.135536,730.095,631.141,0.135536
selfcons_plus,2023,5313.52,2466.49,46.6515,12.927,-884.207,0.0,12.9903,0.0,0.488652,30196.8,0.139056,24.7726,0.241105,102.746,77.9733,0.241105
selfcons_plus,2024,5363.22,2540.0,42.278,11.7151,-986.796,0.0,11.8208,0.0,0.550972,34366.5,0.139056,28.1934,0.26525,106.29,78.0964,0.26525
selfcons_plus,2025,5433.17,2611.02,39.6792,10.995,-1066.82,0.0,11.0808,0.0,0.611732,38654.0,0.139055,31.7109,0.273185,116.078,84.3676,0.273185
selfcons_plus,2026,5540.59,2672.96,37.3499,10.3496,-1136.93,0.0,10.4286,0.0,0.669207,43121.7,0.139055,35.3762,0.279098,126.752,91.376,0.279098
selfcons_plus,2027,5666.81,2726.18,35.2553,9.76912,-1198.53,0.0,9.84075,0.0,0.722039,47586.0,0.139055,39.0388,0.282359,138.26,99.2209,0.282359
selfcons_plus,2028,5808.87,2772.92,33.369,9.24643,-1253.3,0.0,9.31074,0.0,0.769342,51974.6,0.139055,42.6393,0.283455,150.427,107.788,0.283455
selfcons_plus,2029,5966.46,2818.64,31.6682,8.77517,-1304.89,0.0,8.83276,0.0,0.810705,56254.8,0.139054,46.151,0.282715,163.242,117.091,0.282715
selfcons_plus,2030,6139.39,2864.39,30.1573,8.35651,-1353.87,0.0,8.40851,0.0,0.846134,60415.0,0.139054,49.5642,0.280437,176.739,127.175,0.280437
selfcons_plus,2031,6278.37,2910.51,28.8045,7.98164,-1401.01,0.0,8.02637,0.0,0.875947,63959.4,0.139053,52.4723,0.276735,189.612,137.14,0.276735
selfcons_plus,2032,6428.74,2972.66,27.5641,7.63793,-1456.36,0.0,7.67836,0.0,0.900662,67339.1,0.139053,55.2453,0.272208,202.952,147.707,0.272208
selfcons_plus,2033,6590.22,3036.87,26.4341,7.3248,-1511.49,0.0,7.36078,0.0,0.920897,70581.4,0.139053,57.9057,0.26713,216.77,158.864,0.26713
selfcons_plus,2034,6762.56,3102.89,25.4022,7.03888,-1566.39,0.0,7.07078,0.0,0.937297,73717.1,0.139052,60.4786,0.26171,231.09,170.611,0.26171
selfcons_plus,2035,6945.54,3170.46,24.4641,6.77893,-1620.95,0.0,6.80721,0.0,0.95048,76776.7,0.139052,62.9891,0.256084,245.97,182.981,0.256084
selfcons_plus,2036,7115.09,3239.62,23.6143,6.54344,-1675.29,0.0,6.56815,0.0,0.961007,79521.9,0.139051,65.2418,0.250326,260.627,195.385,0.250326
selfcons_plus,2037,7293.48,3310.73,22.8341,6.32726,-1729.79,0.0,6.35025,0.0,0.969368,82224.9,0.139051,67.4598,0.244754,275.622,208.163,0.244754
selfcons_plus,2038,7480.55,3383.65,22.1232,6.13028,-1784.49,0.0,6.15121,0.0,0.975981,84909.2,0.139051,69.6624,0.238832,291.68,222.018,0.238832
selfcons_plus,2039,7676.16,3458.17,21.4603,5.94659,-1839.5,0.0,5.96571,0.0,0.981194,87594.9,0.13905,71.8663,0.232821,308.676,236.81,0.232821
selfcons_plus,2040,7880.21,3534.68,20.8399,5.77467,-1895.17,0.0,5.79217,0.0,0.985293,90299.0,0.13905,74.0853,0.226913,326.492,252.407,0.226913
selfcons_plus,2041,8092.63,3613.16,20.2415,5.60885,-1951.73,0.0,5.625,0.0,0.988509,93035.8,0.139049,76.3311,0.221129,345.188,268.857,0.221129
selfcons_plus,2042,8313.37,3693.49,19.6743,5.4517,-2009.0,0.0,5.46657,0.0,0.991028,95817.0,0.139049,78.6134,0.215335,365.075,286.462,0.215335
selfcons_plus,2043,8542.41,3775.66,19.1733,5.31287,-2066.5,0.0,5.3266,0.0,0.992998,98652.6,0.139049,80.9404,0.209338,386.649,305.709,0.209338
selfcons_plus,2044,8779.88,3860.23,18.6635,5.17159,-2125.61,0.0,5.18413,0.0,0.994539,101552.0,0.139048,83.3199,0.202842,410.762,327.442,0.202842
selfcons_plus,2045,9025.7,3946.67,18.1789,5.03732,-2185.52,0.0,5.04882,0.0,0.995742,104522.0,0.139048,85.7568,0.195428,438.815,353.059,0.195428
selfcons_plus,2046,9279.92,4035.35,17.7312,4.91325,-2246.3,0.0,4.92375,0.0,0.99668,107567.0,0.139048,88.2558,0.184311,478.843,390.587,0.184311
selfcons_plus,2047,9542.64,4126.24,17.3088,4.79622,-2308.1,0.0,4.80589,0.0,0.997413,110694.0,0.139048,90.8209,0.143257,633.973,543.152,0.143257
selfcons_plus,2048,9813.96,4219.45,16.9342,4.69243,-2370.67,0.0,4.70137,0.0,0.997984,113906.0,0.139048,93.4566,0.136743,683.445,589.989,0.136743
selfcons_plus,2049,10094.0,4315.13,16.5563,4.58771,-2434.81,0.0,4.59594,0.0,0.998429,117209.0,0.139047,96.1668,0.13727,700.569,604.402,0.13727
selfcons_plus,2050,10382.9,4413.15,16.1888,4.48588,-2500.25,0.0,4.49341,0.0,0.998776,120606.0,0.139047,98.9543,0.138085,716.618,617.663,0.138085
