run,year,MEWDH,PRICH,METC,MTCD,cost_roof,cost_grid,std_roof,std_grid,share,MEWG,MEWL,MEWK,MEWS,total_cap,non_rooftop_cap,rooftop_cap_share
discount_low,2035,6945.54,3170.46,23.9308,6.63114,-2142.73,0.0,6.66216,0.0,0.95048,76776.7,0.139052,62.9891,0.255674,246.365,183.376,0.255674
discount_low,2036,7115.09,3239.62,23.0669,6.39177,-2208.5,0.0,6.41877,0.0,0.961007,79521.9,0.139051,65.2418,0.249878,261.095,195.853,0.249878
discount_low,2037,7293.48,3310.73,22.2792,6.1735,-2274.69,0.0,6.19787,0.0,0.969368,82224.9,0.139051,67.4598,0.244272,276.167,208.707,0.244272
discount_low,2038,7480.55,3383.65,21.5614,5.97459,-2341.33,0.0,5.99679,0.0,0.975981,84909.2,0.139051,69.6624,0.23832,292.307,222.644,0.23832
discount_low,2039,7676.16,3458.17,20.8912,5.78889,-2408.56,0.0,5.80888,0.0,0.981194,87594.9,0.13905,71.8663,0.232283,309.391,237.525,0.232283
discount_low,2040,7880.21,3534.68,20.2668,5.61587,-2476.72,0.0,5.63377,0.0,0.985293,90299.0,0.13905,74.0853,0.226343,327.315,253.23,0.226343
discount_low,2041,8092.63,3613.16,19.6655,5.44925,-2546.06,0.0,5.46576,0.0,0.988509,93035.8,0.139049,76.3312,0.220518,346.145,269.814,0.220518
discount_low,2042,8313.37,3693.49,19.0927,5.29053,-2616.44,0.0,5.30579,0.0,0.991028,95817.0,0.139049,78.6134,0.214667,366.211,287.597,0.214667
discount_low,2043,8542.41,3775.66,18.582,5.14902,-2687.43,0.0,5.16284,0.0,0.992998,98652.6,0.139049,80.9404,0.208577,388.06,307.12,0.208577
discount_low,2044,8779.88,3860.23,18.0672,5.00638,-2760.36,0.0,5.0184,0.0,0.994539,101552.0,0.139048,83.32,0.201898,412.683,329.363,0.201898
discount_low,2045,9025.7,3946.67,17.579,4.87108,-2834.38,0.0,4.88132,0.0,0.995742,104522.0,0.139048,85.7568,0.194105,441.807,356.05,0.194105
discount_low,2046,9279.92,4035.35,17.0778,4.73222,-2910.31,0.0,4.74094,0.0,0.99668,107567.0,0.139048,88.2558,0.181479,486.313,398.057,0.181479
discount_low,2047,9542.64,4126.24,16.599,4.59954,-2987.63,0.0,4.60737,0.0,0.997413,110694.0,0.139048,90.8206,0.140131,648.113,557.293,0.140131
discount_low,2048,9813.96,4219.45,16.1731,4.48153,-3066.03,0.0,4.48866,0.0,0.997984,113906.0,0.139048,93.4567,0.138054,676.959,583.502,0.138054
discount_low,2049,10094.0,4315.13,15.7281,4.35821,-3146.6,0.0,4.36463,0.0,0.998429,117209.0,0.139047,96.1669,0.138665,693.517,597.351,0.138665
