,1 Nuclear,2 Oil,3 Coal,4 Coal + CCS,5 Waste,6 Waste + CCS,7 CCGT,8 CCGT + CCS,9 OCGT,10 OCGT + CCS,11 Biomass,12 Biomass + CCS,13 Large Hydro,14 Pumped Hydro,15 Geothermal,16 Marine,17 Onshore,18 Offshore,19 Solar PV,20 CSP,21 Fuel cells / Turbine,22 Lithium-ion
11 Biomass,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2,1.8518518518518519,0,2,0.8333333333333334,1.0869565217391304,1.25,2,1.9230769230769231,1.9230769230769231,1.25,2,1.8518518518518519,2.7777777777777777
12 Biomass + CCS,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2,1.8518518518518519,2,0,0.8333333333333334,1.0869565217391304,1.25,2,1.9230769230769231,1.9230769230769231,1.25,2,1.8518518518518519,2.7777777777777777
13 Large Hydro,0.33333333333333337,0.5,0.5,0.5,0.5,0.5,0.8,0.6666666666666667,0.8,0.7407407407407407,0.8,0.8,0,0.43478260869565216,0.5,0.8,0.7692307692307693,0.7692307692307693,0.5,0.8,0.7407407407407407,1.1111111111111112
14 Pumped Hydro,0.2777777777777778,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6172839506172839,0.6666666666666666,0.6666666666666666,0.2777777777777778,0,0.4166666666666667,0.6666666666666666,0.6410256410256411,0.6410256410256411,0.4166666666666667,0.6666666666666666,0.6172839506172839,0.9259259259259259
15 Geothermal,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2,1.8518518518518519,2,2,0.8333333333333334,1.0869565217391304,0,2,1.9230769230769231,1.9230769230769231,1.25,2,1.8518518518518519,2.7777777777777777
16 Marine,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2,1.8518518518518519,2,2,0.8333333333333334,1.0869565217391304,1.25,0,1.9230769230769231,1.9230769230769231,1.25,2,1.8518518518518519,2.7777777777777777
17 Onshore,1.6666666666666667,2.5,2.5,2.5,2.5,2.5,4,3.3333333333333335,4,3.7037037037037037,4,4,1.6666666666666667,2.1739130434782608,2.5,4,0,3.8461538461538463,2.5,4,3.7037037037037037,5.555555555555555
18 Offshore,0.5555555555555556,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.3333333333333333,1.1111111111111112,1.3333333333333333,1.2345679012345678,1.3333333333333333,1.3333333333333333,0.5555555555555556,0.7246376811594203,0.8333333333333334,1.3333333333333333,1.2820512820512822,0,0.8333333333333334,1.3333333333333333,1.2345679012345678,1.8518518518518519
19 Solar PV,1.6666666666666667,2.5,2.5,2.5,2.5,2.5,4,3.3333333333333335,4,3.7037037037037037,4,4,1.6666666666666667,2.1739130434782608,2.5,4,3.8461538461538463,3.8461538461538463,0,4,3.7037037037037037,5.555555555555555
20 CSP,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2,1.8518518518518519,2,2,0.8333333333333334,1.0869565217391304,1.25,2,1.9230769230769231,1.9230769230769231,1.25,0,1.8518518518518519,2.7777777777777777
21 Fuel cells / Turbine,0.5555555555555556,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.3333333333333333,1.1111111111111112,1.3333333333333333,1.2345679012345678,1.3333333333333333,1.3333333333333333,0.5555555555555556,0.7246376811594203,0.8333333333333334,1.3333333333333333,1.2820512820512822,1.2820512820512822,0.8333333333333334,1.3333333333333333,0,1.8518518518518519
22 Lithium-ion,1.6666666666666667,2.5,2.5,2.5,2.5,2.5,4,3.3333333333333335,4,3.7037037037037037,4,4,1.6666666666666667,2.1739130434782608,2.5,4,3.8461538461538463,3.8461538461538463,2.5,4,3.7037037037037037,0
