,1 Nuclear,2 Oil,3 Coal,4 Coal + CCS,5 Waste,6 Waste + CCS,7 CCGT,8 CCGT + CCS,9 OCGT,10 OCGT + CCS,11 Biomass,12 Biomass + CCS,13 Large Hydro,14 Pumped Hydro,15 Geothermal,16 Marine,17 Onshore,18 Offshore,19 Solar PV,20 CSP,21 Fuel cells / Turbine,22 Lithium-ion
12 Biomass + CCS,0.5555555555555556,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.3333333333333333,1.1111111111111112,1.3333333333333333,1.2345679012345678,1.3333333333333333,0,0.5555555555555556,0.8130081300813008,0.8333333333333334,1.3333333333333333,1.3333333333333333,1.1764844292285792,1.0256410256410258,1.3333333333333333,1.2345679012345678,1.8518518518518519
13 Large Hydro,0.33333333333333337,0.5,0.5,0.5,0.5,0.5,0.8,0.6666666666666667,0.8,0.7407407407407407,0.8,0.8,0,0.4878048780487805,0.5,0.8,0.8,0.7058906575371475,0.6153846153846154,0.8,0.7407407407407407,1.1111111111111112
14 Pumped Hydro,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2,1.8518518518518519,2,2,0.8333333333333334,0,1.25,2,2,1.7647266438428688,1.5384615384615385,2,1.8518518518518519,2.7777777777777777
15 Geothermal,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2,1.8518518518518519,2,2,0.8333333333333334,1.2195121951219512,0,2,2,1.7647266438428688,1.5384615384615385,2,1.8518518518518519,2.7777777777777777
16 Marine,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2,1.8518518518518519,2,2,0.8333333333333334,1.2195121951219512,1.25,0,2,1.7647266438428688,1.5384615384615385,2,1.8518518518518519,2.7777777777777777
17 Onshore,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2,1.8518518518518519,2,2,0.8333333333333334,1.2195121951219512,1.25,2,0,1.7647266438428688,1.5384615384615385,2,1.8518518518518519,2.7777777777777777
18 Offshore,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2,1.8518518518518519,2,2,0.8333333333333334,1.2195121951219512,1.25,2,2,0,1.5384615384615385,2,1.8518518518518519,2.7777777777777777
19 Solar PV,1.6666666666666667,2.5,2.5,2.5,2.5,2.5,4,3.3333333333333335,4,3.7037037037037037,4,4,1.6666666666666667,2.4390243902439024,2.5,4,4,3.5294532876857376,0,4,3.7037037037037037,5.555555555555555
20 CSP,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2,1.8518518518518519,2,2,0.8333333333333334,1.2195121951219512,1.25,2,2,1.7647266438428688,1.5384615384615385,0,1.8518518518518519,2.7777777777777777
21 Fuel cells / Turbine,0.4166666666666667,0.625,0.625,0.625,0.625,0.625,1,0.8333333333333334,1,0.9259259259259259,1,1,0.4166666666666667,0.6097560975609756,0.625,1,1,0.8823633219214344,0.7692307692307693,1,0,1.3888888888888888
22 Lithium-ion,1.6666666666666667,2.5,2.5,2.5,2.5,2.5,4,3.3333333333333335,4,3.7037037037037037,4,4,1.6666666666666667,2.4390243902439024,2.5,4,4,3.5294532876857376,3.076923076923077,4,3.7037037037037037,0
