,1 Nuclear,2 Oil,3 Coal,4 Coal + CCS,5 Waste,6 Waste + CCS,7 CCGT,8 CCGT + CCS,9 OCGT,10 OCGT + CCS,11 Biomass,12 Biomass + CCS,13 Large Hydro,14 Pumped Hydro,15 Geothermal,16 Marine,17 Onshore,18 Offshore,19 Solar PV,20 CSP,21 Fuel cells / Turbine,22 Lithium-ion
11 Biomass,1.25,1.25,1.25,1.25,1.25,1.25,2.5,1.6666666666666667,1.9230769230769231,1.8518518518518519,0,2,1,1,1.25,2,2.5,2,1.6666666666666667,2,1.8518518518518519,3.3333333333333335
12 Biomass + CCS,1.25,1.25,1.25,1.25,1.25,1.25,2.5,1.6666666666666667,1.9230769230769231,1.8518518518518519,2,0,1,1,1.25,2,2.5,2,1.6666666666666667,2,1.8518518518518519,3.3333333333333335
13 Large Hydro,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.6666666666666667,1.1111111111111112,1.2820512820512822,1.2345679012345678,1.3333333333333333,1.3333333333333333,0,0.6666666666666666,0.8333333333333334,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.1111111111111112,1.3333333333333333,1.2345679012345678,2.2222222222222223
14 Pumped Hydro,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.4166666666666667,0.2777777777777778,0.32051282051282054,0.30864197530864196,0.3333333333333333,0.3333333333333333,0.16666666666666666,0,0.20833333333333334,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.2777777777777778,0.3333333333333333,0.30864197530864196,0.5555555555555556
15 Geothermal,1.25,1.25,1.25,1.25,1.25,1.25,2.5,1.6666666666666667,1.9230769230769231,1.8518518518518519,2,2,1,1,0,2,2.5,2,1.6666666666666667,2,1.8518518518518519,3.3333333333333335
16 Marine,1.25,1.25,1.25,1.25,1.25,1.25,2.5,1.6666666666666667,1.9230769230769231,1.8518518518518519,2,2,1,1,1.25,0,2.5,2,1.6666666666666667,2,1.8518518518518519,3.3333333333333335
17 Onshore,2.5,2.5,2.5,2.5,2.5,2.5,5,3.3333333333333335,3.8461538461538463,3.7037037037037037,4,4,2,2,2.5,4,0,4,3.3333333333333335,4,3.7037037037037037,6.666666666666667
18 Offshore,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.6666666666666667,1.1111111111111112,1.2820512820512822,1.2345679012345678,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.3333333333333333,1.6666666666666667,0,1.1111111111111112,1.3333333333333333,1.2345679012345678,2.2222222222222223
19 Solar PV,1.25,1.25,1.25,1.25,1.25,1.25,2.5,1.6666666666666667,1.9230769230769231,1.8518518518518519,2,2,1,1,1.25,2,2.5,2,0,2,1.8518518518518519,3.3333333333333335
20 CSP,1.25,1.25,1.25,1.25,1.25,1.25,2.5,1.6666666666666667,1.9230769230769231,1.8518518518518519,2,2,1,1,1.25,2,2.5,2,1.6666666666666667,0,1.8518518518518519,3.3333333333333335
21 Fuel cells / Turbine,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.6666666666666667,1.1111111111111112,1.2820512820512822,1.2345679012345678,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.1111111111111112,1.3333333333333333,0,2.2222222222222223
22 Lithium-ion,1.25,1.25,1.25,1.25,1.25,1.25,2.5,1.6666666666666667,1.9230769230769231,1.8518518518518519,2,2,1,1,1.25,2,2.5,2,1.6666666666666667,2,1.8518518518518519,0
