,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
12 Male OAPs,1053.7099999999998,1071.6090000000002,1087.4620000000002,1102.2559999999999,1114.947,1128.199,1145.234,1168.1039999999998,1198.954,1234.074,1274.586,1321.933,1376.9620000000002,1437.8129999999999,1506.379,1580.7710000000002,1658.1990000000003,1737.2559999999999,1821.032,1904.168,1987.292,2071.6710000000003,2157.8550000000005,2242.795,2327.471,2411.363,2493.2960000000003,2572.7230000000004,2646.1710000000003,2716.4919999999997,2783.525,2846.855,2906.5540000000005,2956.21,3000.7589999999996,3043.848,3090.5019999999995,3143.666,3196.365,3253.165,3311.985,3369.6499999999996,3424.474,3470.952,3512.9800000000005,3549.8469999999998,3580.685,3605.7679999999996,3631.0267085275573,3656.4623564357075,3682.0761831997133,3707.869436977467,3733.8433746703117,3759.99926198429,3786.338373491823,3812.8619926938172,3839.5714120822126,3866.4679332029636,3893.5528667194635,3920.8275324764127,3948.2932595641355,3975.951386383346,4003.8032607103673,4031.85023976281,4060.0936902657077,4088.534988518118,4117.17552046019,4146.016681740699,4175.059877785059,4204.306523863806,4233.758045161568,4263.415876846507,4293.281464140262,4323.35626238837,4353.641737131187,4384.139364175303,4414.850629665455,4445.777030156952,4476.9200726885965,4508.281274856127,4539.862164886167,4571.664281710696,4603.689175042041,4635.938405448395,4668.413544429864,4701.116174495041,4734.04788923813,4767.210293416592,4800.605003029353,4834.233645395543,4868.097859233804,4902.199294742138,4936.539613678323,4971.120489440891,5005.943607150671,5041.0106637329045,5076.323367999939,5111.883440734497
13 Female Children,2139.376,2107.51,2066.945,2009.5720000000001,1948.8359999999998,1884.5590000000002,1819.904,1758.418,1703.4470000000001,1656.096,1614.8380000000002,1576.6689999999999,1540.1689999999999,1522.9470000000001,1499.6399999999999,1476.4099999999999,1461.258,1457.003,1448.866,1454.4470000000001,1467.75,1479.323,1484.557,1489.951,1489.488,1484.5389999999998,1479.124,1475.226,1472.372,1469.725,1466.762,1462.07,1454.702,1446.391,1435.805,1422.9360000000001,1408.186,1391.836,1374.154,1356.04,1337.27,1317.888,1298.244,1280.0430000000001,1262.972,1247.091,1232.425,1218.8899999999999,1205.503646956204,1192.2643083663893,1179.170369657146,1166.2202339869757,1153.4123220515526,1140.7450718911227,1128.2169387000188,1115.8263946382667,1103.5719286452618,1091.4520462554906,1079.4652694162767,1067.6101363075281,1055.8852011634647,1044.2890340963022,1032.8202209218748,1021.4773629871706,1010.2590769997624,999.1639948591113,988.190763489723,977.3380446761372,966.6045148997275,955.9888651772957,945.4898009014372,935.1060416826602,924.836321193239,914.6793870127811,904.6340004754924,894.6989365191171,884.8729835355389,875.154943223022,865.5436304400747,856.0378730609185,846.6365118325438,837.338400233336,828.1424043332541,819.0474026555449,810.0522860399757,801.155957507569,792.3573321268236,783.6553368814035,775.0489105392812,766.5370035233173,758.1185777832613,749.7926066691597,741.5580748061519,733.4139779706435,725.3593229678377,717.3931275106131,709.514420099731,701.722239905358
14 Female 15-19,812.84,785.783,768.726,758.753,758.595,765.141,771.733,773.434,771.746,765.273,754.313,739.404,720.743,697.425,670.345,640.798,610.462,580.686,552.68,524.526,499.148,480.285,469.797,467.567,474.02,485.786,496.978,503.694,506.963,505.667,501.581,497.632,495.449,494.982,495.274,496.222,497.149,497.455,498.073,498.016,497.459,496.357,494.478,492.425,489.469,485.759,481.068,475.058,469.1230831483283,463.26231142848525,457.4747585426454,451.75950976525576,446.1156617984627,440.54232262934573,435.03861138893404,429.6036582129849,424.23660410450117,418.93660079796643,413.70281062527613,408.53440638334376,403.4305712033611,398.3904984216916,393.4133914523767,388.49846366123535,383.6449382415358,378.852048091221,374.1190356916678,369.4451529879608,364.8296612706617,360.27183105905607,355.7709419858586,351.3262826833586,346.9371506709881,342.60285224429435,338.3227023652995,334.0960245542301,329.92215078259903,325.80042136762336,321.73018486796116,317.7107979807508,313.7416254399366,309.822039915865,305.95142191613434,302.1291596876842,298.35464912010735,294.6272936501698,290.9465041675237,287.3116989215982,283.72230342965344,280.17775038598336,276.6774795722526,273.2209377689539,269.8075786679713,266.43686278623613,263.10825738046117,259.82123636294045,256.5752802184009,253.36987592189257
15 Female 20-24,963.268,940.578,915.542,889.817,857.169,821.837,790.713,768.65,760.081,761.261,767.874,773.247,773.409,771.55,766.214,756.211,740.941,720.696,699.493,673.094,642.924,611.453,580.707,553.098,525.773,500.822,481.513,469.999,468.901,476.165,487.911,498.306,503.897,508.156,507.675,503.675,499.001,495.702,496.244,497.296,498.26,498.467,497.737,499.143,499.792,499.351,497.659,494.795,491.9474821614801,489.1163516305132,486.3015140990513,483.50287580178417,480.72034351301556,477.953824543558,475.20322673764525,472.4684584698623,469.74942864209333,467.0460466804872,464.35822253244027,461.6858666635965,459.02889005486537,456.3872041994561,453.76072109992964,451.14935326526734,448.55301370795655,445.9716159410929,443.4050739754994,440.85330231686197,438.3162159628816,435.79373040044277,433.2857616027984,430.79222602677055,428.3130406099677,425.84812276801773,423.3973903918171,420.9607618447956,418.53815596019695,416.12949203837496,413.73468984410556,411.35366960391394,408.98635200341715,406.6326581846822,404.2925097435991,401.9658287272692,399.6525376314084,397.3525593977656,395.06581741155566,392.79223549890713,390.5317379243251,388.2842493881682,386.04969502414025,383.82800039679665,381.6190914990645,379.4228947497775,377.2393369912251,375.06834548671515,372.9098479181511,370.7637723836232
16 Female 25-29,936.249,966.849,984.301,995.763,994.176,981.728,962.072,937.415,908.017,872.166,834.856,803.444,782.167,770.67,770.781,777.795,784.03,784.468,782.496,775.962,764.703,749.144,729.462,706.813,680.082,650.504,619.926,589.769,561.674,534.027,509.137,490.308,479.276,477.489,484.39,496.255,507.143,513.176,516.758,515.868,511.943,507.793,505.037,504.683,505.272,506.4,507.254,507.11,506.96604087892854,506.8221226251808,506.6782452271553,506.53440867325384,506.3906129518816,506.24685805144696,506.1031439603616,505.95947066704053,505.81583815990206,505.67224642736767,505.5286954578622,505.38518523981384,505.24171576165395,505.09828701181726,504.95489897874177,504.81155165086875,504.6682450166427,504.52497906451146,504.3817537829262,504.2385691603412,504.09542518521425,503.9523218460062,503.8092591311813,503.666237029207,503.52325552855416,503.3803146176967,503.237414285112,503.0945545192806,502.9517353086864,502.8089566418165,502.6662185071613,502.5235208932144,502.3808637884728,502.2382471814367,502.09567106060945,501.9531354144978,501.8106402316118,501.66818550046463,501.5257712095728,501.3833973474561,501.2410639026375,501.0987708636433,500.9565182190031,500.8143059572496,500.6721340669189,500.5300025365502,500.38791135468625,500.2458605098727,500.1038499906587,499.9618797855965
17 Female 30-34,855.245,847.928,852.733,876.603,913.96,956.707,992.729,1014.507,1021.837,1016.862,1001.6,979.932,954.502,922.467,885.839,848.842,817.756,796.459,785.293,784.32,789.76,795.051,795.661,792.326,785.473,774.716,759.874,740.877,718.009,691.052,661.41,631.096,601.539,573.02,545.134,520.287,501.769,491.314,489.066,495.611,507.399,518.559,525.215,528.088,526.797,522.917,519.203,517.139,515.0832050681526,513.0355825866556,510.9961000673734,508.96472515132115,506.94142560815146,504.92616933564295,502.918924359191,500.9196588313004,498.92834103108004,496.9449393637396,494.9694223600883,493.00175867603554,491.04191709209374,489.08986651288274,487.14557596663667,485.2090146047124,483.2801517011003,481.35895665193635,479.44539897501693,477.539448309315,475.64107441449846,473.75024717045034,471.8669365767908,469.9911127524013,468.1227459349504,466.2618064804215,464.40826486264274,462.56209167281816,460.7232576190613,458.8917335259306,457.06749033396613,455.2504990992288,453.4407309928411,451.63815730052954,449.8427494221692,448.05447887133,446.2733172748245,444.49923637225794,442.73220801557983,440.9722041686372,439.21919690672985,437.4731584161674,435.7340609938278,434.001877046718,432.27657909153584,430.5581397542344,428.8465317695873,427.14172798075623,425.4437013388603,423.7524249025465
18 Female 35-39,944.257,929.611,914.595,898.995,883.198,872.076,871.69,884.499,904.973,937.241,974.42,1005.809,1024.644,1030.282,1025.33,1010.731,989.076,962.739,932.428,895.508,857.13,824.84,803.105,791.314,790.453,796.328,801.854,802.462,799.588,792.929,782.062,767.017,747.958,725.378,698.65,669.071,638.663,609.07,580.86,553.124,528.249,509.62,499.177,496.952,503.528,515.299,526.411,533.08,539.83348828197,546.6725352117501,553.5982247154406,560.6116544511933,567.7139359831808,574.9061949577689,582.1895712819213,589.5652193038646,597.0343079960415,604.5980211403825,612.2575575159242,620.014131088805,627.8689712046676,635.8233227834985,643.8784465169372,652.0356190680835,660.2961332738374,668.6612983498014,677.1324400977795,685.7109011159044,694.3980410114273,703.1952366162024,712.103882204903,721.1253897160009,730.2611889755453,739.5127279237778,748.8814728446167,758.3689085980504,767.9765388554738,777.7058863380059,787.558493057828,797.5359205625775,807.6397501828399,817.871583282774,828.2330415139146,838.7257670721882,849.351422958187,860.1116932407385,871.0082833238154,882.042920216826,893.2173528083298,904.5333521432199,915.9927117034175,927.5972476921226,939.3487993216646,951.2492291050017,963.3004231509115,975.5042914629215,987.8627682420282,1000.3778121932492
19 Female 40-44,948.675,964.624,972.199,970.663,962.361,949.501,935.235,922.055,909.012,894.391,882.451,879.388,888.487,907.449,939.539,977.281,1008.852,1026.833,1034.281,1029.036,1013.131,990.56,964.116,933.029,896.302,858.669,826.967,805.383,794.044,793.283,799.038,804.437,804.942,802.228,795.676,784.907,769.913,750.823,728.495,701.85,672.326,642.03,612.558,584.342,556.637,531.906,513.481,503.134,492.9954992609269,483.0612963773678,473.3272746051569,463.78940015539234,454.4437205228298,445.28636284796016,436.31353231209255,427.5215105647772,418.9066541829174,410.4653931609309,402.19422943133594,394.08973541514837,386.1485526014892,378.3673901558143,370.74302355618903,363.2722932570429,355.9521033798506,348.77942043019664,341.7512720406921,334.8647457392223,328.1169877420156,321.5052017710321,315.0266478951831,308.67864139490086,302.458551649588,296.3638010474854,290.39186391750735,284.54026548260055,278.80658083419405,273.18843392731463,267.6834965959511,262.28948758825993,257.0041716212121,251.8253584542894,246.75090198184643,241.7786993437622,236.9066900540127,232.13285514680322,227.45521633990688,222.8718352148624,218.38081241369127,213.98028685180208,209.66843494675484,205.44346986256664,201.3036407692449,197.24723211724154,193.27256292652743,189.37798608999256,185.56188769088308,181.82268633399246
20 Female 45-49,859.169,872.364,889.351,907.948,928.394,947.948,961.737,966.981,966.768,959.469,947.168,933.162,919.834,905.709,891.484,880.494,877.769,886.114,906.841,938.778,975.198,1005.598,1023.215,1029.728,1024.674,1009.613,987.663,961.296,930.982,894.684,857.182,825.481,803.814,792.883,792.365,798.174,803.429,803.664,801.291,794.905,784.189,769.198,750.079,727.856,701.404,672.151,642.093,612.686,584.6258012406304,557.8507220276765,532.3019056059621,507.923190780922,484.6609884655339,462.4641638812355,441.2839241538822,421.0737110576591,401.78909867117846,383.38769572079076,365.82905239644174,349.0745714352381,333.0874232772672,317.83246510716634,303.2761636034801,289.3865212259935,276.1330058790067,263.48648379593783,251.41915549772068,239.90449468422253,228.91718992435295,218.4330890166878,208.42914589830193,198.88336998510655,189.77477783233113,181.08334700889063,172.78997208424502,164.87642263100162,157.32530315094206,150.12001483638363,143.24471908281905,136.68430267262852,130.42434455333117,124.45108413734809,118.75139105359386,113.3127362844046,108.12316462435614,103.17126840043149,98.44616239576939,93.93745992187169,89.63524998667151,85.53007550827343,81.61291252647514,77.87515036637362,74.30857271045156,70.90533953753695,67.65796988893408,64.55932542384274,61.60259472791714,58.781278340471914
21 Female 50-54,691.99,745.583,788.861,823.455,845.885,859.733,871.874,886.61,903.978,923.404,942.043,955.398,960.957,959.283,952.41,941.31,927.931,914.157,901.858,887.735,875.861,872.4,880.613,900.434,932.317,969.126,999.692,1017.043,1024.023,1019.341,1004.441,982.559,956.209,926.422,890.714,853.66,822.153,800.454,789.943,789.661,795.476,800.612,800.707,798.262,792.046,781.624,766.896,747.855,729.2867625140829,711.1795494825498,693.5219142859949,676.302694509233,659.5110048848899,643.1362304121933,627.1680196466156,611.5962781561251,596.4111621399107,581.6030722055442,567.1626473006474,553.0807587952288,539.3485047109464,525.9572040936514,512.8983915256538,500.1638117742405,487.74541457306435,475.6353495331038,463.8259611799768,452.3097841144714,441.07953829323424,430.12812442663255,419.4486194908819,409.03427235160126,398.8784994960293,388.9748808712043,379.31715582547645,369.8992191507868,360.71511722321117,351.7590442393293,343.02533854603973,334.5084790615007,326.2030817849339,318.1038963930856,310.20580292119286,302.5038085263566,294.99304433127634,287.66876234635043,280.5263324681965,273.5612395526945,266.76908056070243,260.14556177463993,253.68649608418022,247.3878003393351,241.2454927692589,235.2556904651403,229.41460692559045,223.71854966297587,218.16391786918294,212.7472001393382
