,IC,dIC,O&M,dO&M,Employment,Lifetime,Build time,Learning rate (IC),Learning rate (ME),Discount Rate,Gamma value,CF,dCF,EF,dEF,Energy Intensity,MaxScrap,Ironmaking tech,Steelmaking tech,Payback period,BB?,CCS?,Crude Steel,PIP,PII,Scrap,Coke,Biocoke,Sinter,Sinter (BB),Pellets,Pellets (BB),Oxygen,Hard Coal,Other Coal,Natural Gas,Electricity,Iron ore,Limestone,Hydrogen,Biocharcoal,Biogas
"DR-gas - EAF (CCS, BB)",495.0937,123.773425,79.94814,19.987035,0.0009059303,35,3,-0.06,-0.1,0.025,-30,0.6,0.15,-0.42928516400000005,0.06927070094668987,0,0.51,10,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR-coal - EAF,459.7238,114.93095,77.17377,19.2934425,0.00085812673,35,3,-0.03,-0.1,0.025,-50,0.8,0.2,1.974948,0.25730189770270023,0,0.51,11,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR-coal - EAF (BB),459.7238,114.93095,77.18266,19.295665,0.0008627908,35,3,-0.03,-0.1,0.025,-50,0.8,0.2,0.051052809,0.004744325754478974,0,0.51,12,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR-coal - EAF (CCS),560.6692,140.1673,86.06678,21.516695,0.00090103305,35,3,-0.06,-0.1,0.025,-20,0.8,0.2,0.5924843999999999,0.051506025684001006,0,0.51,13,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DR-coal - EAF (CCS, BB)",558.5371,139.634275,85.88801,21.4720025,0.0009059303,35,3,-0.06,-0.1,0.025,-20,0.8,0.2,-0.912425976,0.20754510438637183,0,0.51,14,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR - BOF,453.6695,113.417375,68.94037,17.2350925,0.0010832435,35,4,-0.04,-0.125,0.025,-25,0.7,0.175,1.922799,0.22719529796324053,0,0.21,15,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR- BOF (BB),453.6695,113.417375,68.94037,17.2350925,0.0010864792,35,4,-0.04,-0.125,0.025,-25,0.7,0.175,0.035418034,0.028974360885560754,0,0.21,16,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR - BOF (CCS),548.7631,137.190775,77.86507,19.4662675,0.0011374056,35,4,-0.08,-0.125,0.025,-10,0.7,0.175,0.5768397,0.04547224269027503,0,0.21,17,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SR - BOF (CCS, BB)",547.3178,136.82945,77.72954,19.432385,0.0011408031,35,4,-0.08,-0.125,0.025,-10,0.7,0.175,-0.888333138,0.15550301913753586,0,0.21,18,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR + - BOF,378.2722,94.56805,65.80081,16.4502025,0.0010185296,35,3,-0.06,-0.15,0.025,-25,0.7,0.175,1.633053,0.12020745406969845,0,0.21,19,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR + - BOF (BB),378.2722,94.56805,65.80081,16.4502025,0.0010185296,35,3,-0.06,-0.15,0.025,-25,0.7,0.175,0,0,0,0.21,20,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR + - BOF (CCS),459.373,114.84325,73.41767,18.3544175,0.0010694561,35,3,-0.09,-0.15,0.025,-10,0.7,0.175,0.4899159,0.024041487080542184,0,0.21,21,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SR + - BOF (CCS, BB)",457.8599,114.464975,73.2758,18.31895,0.0010694561,35,3,-0.09,-0.15,0.025,-10,0.7,0.175,-1.005960648,0.09920705312796295,0,0.21,22,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HFS - EAF,393.3769,98.344225,77.52493,19.3812325,0.00076301442,30,3,-0.15,-0.2,0.025,-75,0.7,0.175,0.0145,0.002107814527639928,0,0.51,23,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOE,4043.86,1010.965,58.92982,14.732455,0.00081730768,30,3,-0.2,-0.2,0.025,-100,0.6,0.15,0.0057999999,0.0008660000000000001,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrap - EAF,130.7769,32.694225,59.74493,14.9362325,0.00065616344,30,2,-0.03,-0.1,0.025,35,0.6,0.15,0.0145,0.002710814527639928,0,0.91,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
