,Conv. BF - OHF,Conv. BF - BOF,Conv. BF - BOF (BB),Conv. BF - BOF (CCS),"Conv. BF - BOF (CCS, BB)",BF TGR - BOF (CCS),"BF TGR - BOF (CCS, BB)",DR-gas - EAF,DR-gas - EAF (BB),DR-gas - EAF (CCS),"DR-gas - EAF (CCS, BB)",DR-coal - EAF,DR-coal - EAF (BB),DR-coal - EAF (CCS),"DR-coal - EAF (CCS, BB)",SR - BOF,SR- BOF (BB),SR - BOF (CCS),"SR - BOF (CCS, BB)",SR + - BOF,SR + - BOF (BB),SR + - BOF (CCS),"SR + - BOF (CCS, BB)",HFS - EAF,MOE,Scrap - EAF
"DR-gas - EAF (CCS, BB)",1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,2.742857142857143,2.742857142857143,2.742857142857143,0,2.057142857142857,2.742857142857143,2.742857142857143,2.742857142857143,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.742857142857143,1.3714285714285714,2.742857142857143
DR-coal - EAF,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,2.742857142857143,2.742857142857143,2.742857142857143,2.742857142857143,0,2.742857142857143,2.742857142857143,2.742857142857143,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.742857142857143,1.3714285714285714,2.742857142857143
DR-coal - EAF (BB),1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,2.742857142857143,2.742857142857143,2.742857142857143,2.742857142857143,2.057142857142857,0,2.742857142857143,2.742857142857143,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.742857142857143,1.3714285714285714,2.742857142857143
DR-coal - EAF (CCS),1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,2.742857142857143,2.742857142857143,2.742857142857143,2.742857142857143,2.057142857142857,2.742857142857143,0,2.742857142857143,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.742857142857143,1.3714285714285714,2.742857142857143
"DR-coal - EAF (CCS, BB)",1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,2.742857142857143,2.742857142857143,2.742857142857143,2.742857142857143,2.057142857142857,2.742857142857143,2.742857142857143,0,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.742857142857143,1.3714285714285714,2.742857142857143
SR - BOF,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,0,2.057142857142857,2.057142857142857,2.057142857142857,2.742857142857143,2.742857142857143,2.742857142857143,2.742857142857143,1.3714285714285714,1.3714285714285714,1.3714285714285714
SR- BOF (BB),1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.057142857142857,0,2.057142857142857,2.057142857142857,2.742857142857143,2.742857142857143,2.742857142857143,2.742857142857143,1.3714285714285714,1.3714285714285714,1.3714285714285714
SR - BOF (CCS),1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.057142857142857,2.057142857142857,0,2.057142857142857,2.742857142857143,2.742857142857143,2.742857142857143,2.742857142857143,1.3714285714285714,1.3714285714285714,1.3714285714285714
"SR - BOF (CCS, BB)",1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.057142857142857,2.057142857142857,2.057142857142857,0,2.742857142857143,2.742857142857143,2.742857142857143,2.742857142857143,1.3714285714285714,1.3714285714285714,1.3714285714285714
SR + - BOF,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,0,2.742857142857143,2.742857142857143,2.742857142857143,1.3714285714285714,1.3714285714285714,1.3714285714285714
SR + - BOF (BB),1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,2.742857142857143,0,2.742857142857143,2.742857142857143,1.3714285714285714,1.3714285714285714,1.3714285714285714
SR + - BOF (CCS),1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,2.742857142857143,2.742857142857143,0,2.742857142857143,1.3714285714285714,1.3714285714285714,1.3714285714285714
"SR + - BOF (CCS, BB)",1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.057142857142857,2.057142857142857,2.057142857142857,2.057142857142857,2.742857142857143,2.742857142857143,2.742857142857143,0,1.3714285714285714,1.3714285714285714,1.3714285714285714
HFS - EAF,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,2.742857142857143,2.742857142857143,2.742857142857143,2.742857142857143,2.057142857142857,2.742857142857143,2.742857142857143,2.742857142857143,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,0,1.3714285714285714,2.742857142857143
MOE,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,0,1.3714285714285714
Scrap - EAF,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,2.742857142857143,2.742857142857143,2.742857142857143,2.742857142857143,2.057142857142857,2.742857142857143,2.742857142857143,2.742857142857143,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.0285714285714285,1.3714285714285714,1.3714285714285714,1.3714285714285714,1.3714285714285714,2.742857142857143,1.3714285714285714,0
