Variable Name,ZTLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desc,FTT-Fr LCOF without policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,2010 Euros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scenario,dimension,dimension2,dimension3,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
S0,42 India (IN),BEV MDT,None,0.032590492,0.032590492,0.032590492,0.032590492,0.032590492,0.032590492,0.032590492,0.032590492,0.032590492,0.032590492,0.032590492,0.032590492,0.032590492,0.032590492,0.031264865,0.029969809,0.028909037,0.027948207,0.02706034,0.02623266,0.025422533,0.024731162,0.024122871,0.023585221,0.023084427,0.022604097,0.022100227,0.021610108,0.021137605,0.020685081,0.02025194,0.019841787,0.019453406,0.019083017,0.018730299,0.018398697,0.01808429,0.017786428,0.017505204,0.017243798,0.016996053
S0,42 India (IN),Diesel HDT,None,0.020400885,0.020400885,0.020400885,0.020400885,0.020400885,0.020400885,0.020400885,0.020400885,0.020400885,0.020400885,0.020400885,0.020400885,0.020400885,0.020400885,0.020384784,0.020370337,0.020356488,0.020344527,0.020332805,0.020321749,0.020310393,0.020298598,0.020287139,0.020275834,0.020264865,0.020254244,0.020244169,0.020234429,0.020224979,0.020215815,0.020207026,0.020198806,0.020191058,0.020183622,0.020176503,0.020169699,0.020163195,0.020157076,0.020151561,0.020146371,0.020141541
S0,42 India (IN),Diesel LCV,None,0.092910511,0.092910511,0.092910511,0.092910511,0.092910511,0.092910511,0.092910511,0.092910511,0.092910511,0.092910511,0.092910511,0.092910511,0.092910511,0.092910511,0.09278816,0.092678377,0.092573139,0.092482251,0.092393177,0.092309165,0.092222869,0.092133245,0.092046168,0.091960258,0.091876907,0.091796203,0.091719643,0.09164563,0.091573821,0.091504187,0.091437399,0.091374937,0.091316062,0.091259552,0.091205459,0.091153756,0.091104328,0.091057831,0.091015922,0.090976488,0.090939785
S0,42 India (IN),Diesel MDT,None,0.026682562,0.026682562,0.026682562,0.026682562,0.026682562,0.026682562,0.026682562,0.026682562,0.026682562,0.026682562,0.026682562,0.026682562,0.026682562,0.026682562,0.026659752,0.026639285,0.026619665,0.02660272,0.026586114,0.026570451,0.026554362,0.026537653,0.026521419,0.026505403,0.026489863,0.026474817,0.026460544,0.026446745,0.026433358,0.026420375,0.026407924,0.026396279,0.026385303,0.026374767,0.026364682,0.026355043,0.026345828,0.02633716,0.026329346,0.026321994,0.026315152
S0,42 India (IN),Petrol HDT,None,0.017343504,0.017343504,0.017343504,0.017343504,0.017343504,0.017343504,0.017343504,0.017343504,0.017343504,0.017343504,0.017343504,0.017343504,0.017343504,0.017343504,0.017329736,0.017317256,0.017305296,0.017295084,0.017285002,0.017275459,0.017265797,0.017255826,0.017246157,0.017236636,0.017227372,0.017218378,0.017209798,0.017201468,0.017193366,0.017185488,0.017177915,0.017170833,0.01716412,0.017157665,0.017151496,0.017145597,0.017139954,0.017134662,0.017129931,0.017125476,0.017121334
S0,42 India (IN),Petrol LCV,None,0.14021922,0.14021922,0.14021922,0.14021922,0.14021922,0.14021922,0.14021922,0.14021922,0.14021922,0.14021922,0.14021922,0.14021922,0.14021922,0.14021922,0.140116814,0.14002398,0.139935019,0.139859057,0.139784061,0.139713074,0.139641211,0.139567036,0.139495118,0.139424294,0.139355383,0.139288487,0.139224663,0.139162698,0.139102439,0.139043836,0.138987509,0.13893483,0.138884893,0.138836874,0.138790988,0.138747109,0.138705139,0.138665772,0.13863058,0.138597442,0.138566632
S0,42 India (IN),Petrol MDT,None,0.034078473,0.034078473,0.034078473,0.034078473,0.034078473,0.034078473,0.034078473,0.034078473,0.034078473,0.034078473,0.034078473,0.034078473,0.034078473,0.034078473,0.034064073,0.034051019,0.03403851,0.034027828,0.034017283,0.034007301,0.033997196,0.033986766,0.033976653,0.033966694,0.033957004,0.033947597,0.033938623,0.033929909,0.033921436,0.033913195,0.033905275,0.033897867,0.033890846,0.033884093,0.033877641,0.033871471,0.033865569,0.033860034,0.033855085,0.033850426,0.033846093
S0,41 China (CN),BEV HDT,None,0.015645344,0.015645344,0.015645344,0.015645344,0.015645344,0.015645344,0.015645344,0.015645344,0.015645344,0.015645344,0.015645344,0.015645344,0.015645344,0.015645344,0.014990924,0.014562516,0.014196725,0.013866649,0.013556322,0.013269178,0.012955972,0.012728989,0.01254563,0.012378254,0.012223237,0.012080563,0.011924904,0.011768463,0.011599902,0.011425382,0.011250098,0.011069186,0.010898196,0.010724875,0.01055658,0.010389868,0.010227293,0.010071356,0.009921467,0.009775689,0.009638762
S0,41 China (CN),BEV LCV,None,0.173086162,0.173086162,0.173086162,0.173086162,0.173086162,0.173086162,0.173086162,0.173086162,0.173086162,0.173086162,0.173086162,0.173086162,0.173086162,0.173086162,0.164219613,0.157605686,0.151951576,0.146883906,0.142229975,0.137942398,0.133682193,0.130106539,0.126979797,0.124133604,0.121542986,0.119193267,0.116911171,0.114751753,0.112631628,0.110566489,0.10857624,0.106623065,0.10479041,0.102997173,0.101284923,0.099622992,0.098023825,0.096499145,0.09504633,0.09364521,0.092320675
S0,41 China (CN),BEV MDT,None,0.020536608,0.020536608,0.020536608,0.020536608,0.020536608,0.020536608,0.020536608,0.020536608,0.020536608,0.020536608,0.020536608,0.020536608,0.020536608,0.020536608,0.019714891,0.019188591,0.018738706,0.018332964,0.017949739,0.017594962,0.017201196,0.016923342,0.016702541,0.016500621,0.016312583,0.016138648,0.015944344,0.015746845,0.015530779,0.015304913,0.015076629,0.014839426,0.014614864,0.014386212,0.014163609,0.013942571,0.013726656,0.013519361,0.013319784,0.013125476,0.012943023
S0,41 China (CN),CNG/LPG HDT,None,0.019429681,0.019429681,0.019429681,0.019429681,0.019429681,0.019429681,0.019429681,0.019429681,0.019429681,0.019429681,0.019429681,0.019429681,0.019429681,0.019429681,0.019407368,0.019387129,0.019367619,0.019350745,0.019334058,0.019318193,0.019301943,0.019285063,0.019268623,0.019252386,0.019236603,0.019221303,0.019206825,0.019192786,0.019179139,0.01916588,0.019153222,0.019141378,0.019130178,0.019119411,0.0191091,0.019099229,0.019089777,0.019080888,0.019072899,0.019065371,0.019058361
S0,41 China (CN),CNG/LPG LCV,None,0.147599486,0.147599486,0.147599486,0.147599486,0.147599486,0.147599486,0.147599486,0.147599486,0.147599486,0.147599486,0.147599486,0.147599486,0.147599486,0.147599486,0.147341902,0.147108248,0.146883022,0.14668823,0.14649559,0.146312435,0.146124838,0.145929982,0.145740184,0.145552749,0.145370537,0.14519392,0.145026782,0.144864712,0.144707157,0.144554101,0.144407971,0.144271236,0.144141941,0.144017653,0.143898618,0.143784659,0.143675548,0.143572926,0.143480696,0.143393794,0.143312874
S0,41 China (CN),CNG/LPG MDT,None,0.026772894,0.026772894,0.026772894,0.026772894,0.026772894,0.026772894,0.026772894,0.026772894,0.026772894,0.026772894,0.026772894,0.026772894,0.026772894,0.026772894,0.026744575,0.026718888,0.026694127,0.026672712,0.026651533,0.026631398,0.026610774,0.026589352,0.026568486,0.026547879,0.026527847,0.02650843,0.026490056,0.026472238,0.026454917,0.02643809,0.026422025,0.026406992,0.026392778,0.026379114,0.026366027,0.026353499,0.026341504,0.026330221,0.026320082,0.026310528,0.026301632
S0,41 China (CN),Diesel HDT,None,0.026422692,0.026422692,0.026422692,0.026422692,0.026422692,0.026422692,0.026422692,0.026422692,0.026422692,0.026422692,0.026422692,0.026422692,0.026422692,0.026422692,0.026401798,0.026383051,0.026365079,0.026349558,0.026334347,0.02632,0.026305263,0.026289958,0.026275088,0.026260417,0.026246183,0.026232401,0.026219327,0.026206688,0.026194425,0.026182533,0.026171128,0.026160461,0.026150407,0.026140757,0.02613152,0.02612269,0.026114249,0.026106309,0.026099152,0.026092418,0.02608615
S0,41 China (CN),Diesel LCV,None,0.238615071,0.238615071,0.238615071,0.238615071,0.238615071,0.238615071,0.238615071,0.238615071,0.238615071,0.238615071,0.238615071,0.238615071,0.238615071,0.238615071,0.238185088,0.237799276,0.237429434,0.237110023,0.236796986,0.236501742,0.236198467,0.235883499,0.235577481,0.235275565,0.234982642,0.23469902,0.234429964,0.234169857,0.233917498,0.233672779,0.233438063,0.23321855,0.233011646,0.232813051,0.232622951,0.232441249,0.232267543,0.232104137,0.231956855,0.231818271,0.231689284
S0,41 China (CN),Diesel MDT,None,0.037331941,0.037331941,0.037331941,0.037331941,0.037331941,0.037331941,0.037331941,0.037331941,0.037331941,0.037331941,0.037331941,0.037331941,0.037331941,0.037331941,0.037299943,0.037271232,0.037243709,0.037219939,0.037196643,0.037174672,0.037152103,0.037128664,0.03710589,0.037083422,0.037061624,0.037040517,0.037020495,0.037001138,0.036982358,0.036964147,0.03694668,0.036930344,0.036914946,0.036900167,0.036886021,0.036872499,0.036859572,0.036847412,0.036836451,0.036826138,0.036816539
