,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
17 Hybrid Mid,24194.21,5000,0.032742678711976274,0.12,0.056,0.04,0.15,12,1.4542852103241413,28000,0.375,10.5,-1.4,98.65326572959086,4,-0.0144995696951151,4,0,0,0,0,0
18 Hybrid Lux,30000,1000,0.04844323423941322,0.12,0.066,0.04,0.15,12,2.151634559724587,28000,0.375,10.5,-1.5,145.95883563043984,4,-0.0144995696951151,4,0,0,0,0,0
19 Electric Econ,35698.67172507861,12031,0.017499999999999998,0,0.046,0.04,0.15,12,0.63,28000,0.375,10.5,-2,28.80304222474461,4,-0.23,4,18,150,1.05,1.00045,0.996
20 Electric Mid,45237.45285397313,6368,0.018611111111111113,0,0.065,0.05,0.15,12,0.67,28000,0.375,10.5,-2.5,40.32425911464245,4,-0.23,4,45.66,150,1.05,1.00045,0.996
21 Electric Lux,72051.596855402,20031,0.024166666666666666,0,0.08,0.06,0.15,12,0.87,28000,0.375,10.5,-3,49.92527318955733,4,-0.23,4,81,150,1.05,1.00045,0.996
22 PHEV Econ,10000,1000,0.011948275862068966,0.8156505048898656,0.046,0.04,0.15,12,0.5306896551724138,28000,0.375,10.5,-0.2,36,4,-0.23,4,11.9,150,1.05,1.00045,0.996
23 PHEV Mid,20000,4724.2,0.0165948275862069,1.6601587954956118,0.065,0.05,0.15,12,0.7370689655172414,28000,0.375,10.5,-0.6,50,4,-0.23,4,11.9,150,1.05,1.00045,0.996
24 PHEV Lux,56401,1000,0.028798663793103446,2.070530303534988,0.08,0.06,0.15,12,1.2791094827586207,28000,0.375,10.5,-1.6,86.77,4,-0.23,4,11.9,150,1.05,1.00045,0.996
25 Hydrogen Econ,10000,1000,0,0,0.046,0.04,0.15,12,0,28000,0.375,10.5,0,0,4,-0.23,4,0,0,0,0,0
26 Hydrogen Mid,50000,1000,0,0,0.065,0.05,0.15,12,0,28000,0.375,10.5,0,0,4,-0.23,4,0,0,0,0,0
27 Hydrogen Lux,70000,1000,0,0,0.08,0.06,0.15,12,0,28000,0.375,10.5,0,0,4,-0.23,4,0,0,0,0,0
28 Bikes Econ,2539,614,0.031755862068965524,0.12,0,0.03,0.15,8,1.4104551724137935,4000,0.55,2.2,0,95.68,2,-0.0144995696951151,3,0,0,0,0,0
29 Bikes Lux,9899,5160,0.03969482758620691,0.12,0,0.03,0.15,8,1.763068965517242,4000,0.55,2.2,0,119.60000000000002,2,-0.0144995696951151,3,0,0,0,0,0
30 Bikes Adv Econ,2539,614,0.02540468965517242,0.01,0.01,0.001,0.15,8,1.1283641379310347,4000,0.55,2.2,0,76.54400000000001,2,-0.0144995696951151,3,0,0,0,0,0
31 Bikes Adv Lux,9899,5160,0.031755862068965524,0.01,0.02,0.002,0.15,8,1.4104551724137935,4000,0.55,2.2,0,95.68,2,-0.0144995696951151,3,0,0,0,0,0
