,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
17 Hybrid Mid,27603.52,4724.2,0.0374202042422586,0.034254,0.056,0.04,0.15,10,1.4542852103241413,13117,0.375,4.918875,0,98.65326572959086,4,-0.07,4,0,0,0,0,0
18 Hybrid Lux,35734.97,7003.9,0.05536369627361511,0.0099,0.066,0.04,0.15,10,2.151634559724587,13117,0.375,4.918875,0,145.95883563043984,4,-0.07,4,0,0,0,0,0
19 Electric Econ,24000,1000,0.0245,0.00056,0.046,0.04,0.15,10,0.63,13117,0.375,4.918875,-0.6,28.80304222474461,4,-0.23,4,16,150,1.05,1.00045,0.996
20 Electric Mid,38653.24514563107,6858.9,0.026055555555555557,0.0008,0.065,0.05,0.15,10,0.67,13117,0.375,4.918875,-1,40.32425911464245,4,-0.23,4,39,150,1.05,1.00045,0.996
21 Electric Lux,67151.01130524153,16389,0.03383333333333333,0.01238,0.08,0.06,0.15,10,0.87,13117,0.375,4.918875,-1.4,49.92527318955733,4,-0.23,4,68.5,150,1.05,1.00045,0.996
22 PHEV Econ,15000,1000,0.013655172413793104,0.05797701056633251,0.046,0.04,0.15,12,0.5306896551724138,13117,0.375,4.918875,-0.5,36,4,-0.23,4,11.9,150,1.05,1.00045,0.996
23 PHEV Mid,26500,10000,0.01896551724137931,0.0776108819930007,0.065,0.05,0.15,12,0.7370689655172414,13117,0.375,4.918875,-0.8,50,4,-0.23,4,11.9,150,1.05,1.00045,0.996
24 PHEV Lux,135925,1000,0.03291275862068965,0.17317113699961847,0.08,0.06,0.15,12,1.2791094827586207,13117,0.375,4.918875,-1,86.77,4,-0.23,4,11.9,150,1.05,1.00045,0.996
25 Hydrogen Econ,15000,1000,0,0,0.046,0.04,0.15,12,0,13117,0.375,4.918875,0,0,4,-0.22,4,0,0,0,0,0
26 Hydrogen Mid,50000,1000,0,0,0.065,0.05,0.15,12,0,13117,0.375,4.918875,0,0,4,-0.22,4,0,0,0,0,0
27 Hydrogen Lux,66812.81,4349.2,0,0,0.08,0.06,0.15,12,0,13117,0.375,4.918875,0,0,4,-0.22,4,0,0,0,0,0
28 Bikes Econ,3322,2437,0.02241687724137931,0.032670000000000005,0.03,0.03,0.15,10,0.8712013655172415,13117,0.55,7.2143500000000005,0,59.09904,2,-0.01,3,0,0,0,0,0
29 Bikes Lux,8262,2842,0.03362531586206896,0.09702000000000001,0.04,0.03,0.15,10,1.306802048275862,3500,0.55,1.9250000000000003,0,88.64855999999999,2,-0.01,3,0,0,0,0,0
30 Bikes Adv Econ,3322,2437,0,0,0,0,0.15,10,0,3500,0.55,1.9250000000000003,0,0,2,-0.01,3,0,0,0,0,0
31 Bikes Adv Lux,8262,2842,0,0,0,0,0.15,10,0,3500,0.55,1.9250000000000003,0,0,2,-0.01,3,0,0,0,0,0
