Model,Policy,Region,Crossover year,Crossover year_Baseline,Crossover year difference
FTT:P,EV mandates,16,2022.8564715538857,2022.8564715538857,-0.0
FTT:P,EV mandates,17,2027.2494561528,2027.3961058160944,0.1466496632945109
FTT:P,EV mandates,19,2029.5526937627315,2029.7812399240752,0.22854616134372918
FTT:P,EV mandates,20,2032.2659386538132,2033.1054625680038,0.8395239141905222
FTT:P,EV mandates,21,2022.4165660390695,2022.4165660390695,-0.0
FTT:P,EV mandates,26,2027.4585740842124,2027.6404458714692,0.18187178725679587
FTT:P,EV mandates,27,2026.8940772934252,2026.9652022004411,0.07112490701592833
FTT:P,EV mandates,28,2029.2128995678593,2029.296248011973,0.08334844411365339
FTT:P,EV mandates,31,2022.5742730075585,2022.5742730075585,-0.0
FTT:P,EV mandates,35,2022.3934488000755,2022.3934488000755,-0.0
FTT:P,EV mandates,36,2023.4649589624269,2023.4649589624269,-0.0
FTT:P,EV mandates,38,2021.5739814239325,2021.5739814239325,-0.0
FTT:P,EV mandates,40,2037.1524187876414,2037.847769174653,0.6953503870115583
FTT:P,EV mandates,45,2028.834421016984,2028.9042646812597,0.06984366427582245
FTT:P,EV mandates,47,2022.1639724539807,2022.1639724539807,-0.0
FTT:P,EV mandates,48,2031.9041461855809,2032.7276697706425,0.8235235850615936
FTT:P,EV mandates,50,2027.9124608206826,2027.9642368078485,0.05177598716591092
FTT:P,EV mandates,52,2026.2650521454948,2026.2846398280756,0.019587682580777255
FTT:P,EV mandates,54,2027.7568853986766,2027.8077488709482,0.050863472271657884
FTT:P,EV mandates,58,2025.9302373026078,2025.9448258123439,0.014588509736086053
FTT:P,EV mandates,61,2024.856777422413,2024.8594545394808,0.0026771170678330236
FTT:P,EV mandates,65,2031.288110208516,2031.460188529088,0.17207832057215455
FTT:P,EV mandates,67,2024.3925177301262,2024.3938159025315,0.0012981724053133803
FTT:P,EV mandates,69,2032.7997667264308,2033.0670856958168,0.26731896938599675
FTT:P,EV truck mandates,2,2022.1675751168173,2022.1675751168173,-0.0
FTT:P,EV truck mandates,7,2030.2199445029362,2030.2783994355568,0.05845493262063428
FTT:P,EV truck mandates,9,2022.8310723229715,2022.8310723229715,-0.0
FTT:P,EV truck mandates,13,2027.970963023606,2027.9784835524074,0.0075205288014785765
FTT:P,EV truck mandates,16,2022.8564715538857,2022.8564715538857,-0.0
FTT:P,EV truck mandates,17,2027.311526804495,2027.3961058160944,0.0845790115993168
FTT:P,EV truck mandates,19,2029.7309541725128,2029.7812399240752,0.05028575156234183
FTT:P,EV truck mandates,20,2032.832891463316,2033.1054625680038,0.2725711046878132
FTT:P,EV truck mandates,21,2022.4165660390695,2022.4165660390695,-0.0
FTT:P,EV truck mandates,26,2027.536079062162,2027.6404458714692,0.1043668093072938
FTT:P,EV truck mandates,27,2026.9437849044075,2026.9652022004411,0.021417296033632738
FTT:P,EV truck mandates,28,2029.275824328757,2029.296248011973,0.02042368321599497
FTT:P,EV truck mandates,31,2022.5742730075585,2022.5742730075585,-0.0
FTT:P,EV truck mandates,35,2022.3934488000755,2022.3934488000755,-0.0
