Model,Policy,Region,Crossover year,Crossover year_Baseline,Crossover year difference
FTT:H,Heat pump mandates,50,2026.5057914297024,2026.931099053164,0.42530762346154916
FTT:H,Heat pump mandates,51,2021.0,2021.0,-0.0
FTT:H,Heat pump mandates,52,2021.0,2021.0,-0.0
FTT:H,Heat pump mandates,54,2025.6162949150594,2025.8299381063766,0.21364319131726006
FTT:H,Heat pump mandates,57,2025.7408714339292,2026.018520480841,0.2776490469118471
FTT:H,Heat pump mandates,60,2027.9719543446288,2028.7890452525044,0.8170909078755813
FTT:H,Heat pump mandates,63,2032.9501270707235,2034.6140152533214,1.6638881825979297
FTT:H,Heat pump mandates,64,2036.4503025877705,2040.2416093770182,3.7913067892477557
FTT:H,Heat pump mandates,65,2025.8072377833641,2026.0310585128311,0.22382072946697917
FTT:H,Heat pump mandates,66,2037.9776421056697,2040.8770936379663,2.8994515322965526
FTT:H,Heat pump mandates,67,2021.0,2021.0,-0.0
FTT:H,Heat pump mandates,68,2024.3216019705167,2024.366163627142,0.0445616566253193
FTT:H,Heat pump mandates,69,2028.9722536662352,2029.7627846308494,0.7905309646141632
FTT:H,EV mandates,1,2027.9926102098748,2028.0264785809995,0.03386837112475405
FTT:H,EV mandates,2,2021.0,2021.0,-0.0
FTT:H,EV mandates,3,2034.988977050387,2035.2508217992556,0.2618447488687252
FTT:H,EV mandates,4,2021.0,2021.0,-0.0
FTT:H,EV mandates,6,2021.8565761407112,2021.8565761407112,-0.0
FTT:H,EV mandates,7,2023.8165848818705,2023.8165848818705,-0.0
FTT:H,EV mandates,8,2023.1061326153242,2023.1061326153242,-0.0
FTT:H,EV mandates,9,2024.9790252060675,2024.9790252060675,-0.0
FTT:H,EV mandates,11,2023.8587148658874,2023.8587148658874,-0.0
FTT:H,EV mandates,12,2021.8085194811965,2021.8085194811965,-0.0
FTT:H,EV mandates,13,2021.0,2021.0,-0.0
FTT:H,EV mandates,16,2022.4771203762543,2022.4771203762543,-0.0
FTT:H,EV mandates,17,2023.3295271091913,2023.3295271091913,-0.0
FTT:H,EV mandates,18,2021.0,2021.0,-0.0
FTT:H,EV mandates,19,2021.9335160818298,2021.9335160818298,-0.0
FTT:H,EV mandates,20,2025.5800104539458,2025.5812057857972,0.0011953318514770217
FTT:H,EV mandates,21,2040.1973768964738,2040.8535701002402,0.6561932037664064
FTT:H,EV mandates,22,2021.0,2021.0,-0.0
