"energy_technologies","year","value"
"Oil","2031",194.612141860436
"Coal","2031",1466.87990227562
"Coal + CCS","2031",26.3862140113796
"IGCC","2031",83.9228336208408
"IGCC + CCS","2031",0.531483147027206
"CCGT","2031",1769.56635334613
"CCGT + CCS","2031",25.797052305304
"Solid Biomass","2031",193.005763331723
"Biogas","2031",74.2108002495596
"Large Hydro","2031",847.409187967067
"Onshore","2031",1275.85116410652
"Offshore","2031",331.434810967306
"Solar PV","2031",5949.08216568811
"CSP","2031",26.6952445272097
"Geothermal","2031",12.1091138218826
"Fuel Cells","2031",4.0855850626718
"Nuclear","2032",673.71565851235
"Oil","2032",192.137650211842
"Coal","2032",1496.6049066585
"Coal + CCS","2032",27.0889249000035
"IGCC","2032",84.8573211459145
"IGCC + CCS","2032",0.543312126699001
"CCGT","2032",1793.1030809832
"CCGT + CCS","2032",26.2822472595474
"Solid Biomass","2032",190.889229087791
"Biogas","2032",75.4397943676391
"Large Hydro","2032",808.520778529801
"Onshore","2032",1204.29368943975
"Offshore","2032",329.905325667851
"Solar PV","2032",6393.96673822844
"CSP","2032",31.2118676781244
"Geothermal","2032",11.9331328889096
"Fuel Cells","2032",4.02576447861479
"Nuclear","2033",711.549235475306
"Oil","2033",190.332783182553
"Coal","2033",1527.34876783549
"Coal + CCS","2033",27.7431055713555
"IGCC","2033",85.6344612553196
"IGCC + CCS","2033",0.555009939054443
"CCGT","2033",1814.1003538161
"CCGT + CCS","2033",26.7739809284063
"Solid Biomass","2033",189.044693041826
"Biogas","2033",76.8768539699167
"Large Hydro","2033",774.109038100132
"Onshore","2033",1143.01354614597
"Offshore","2033",327.016611554604
"Solar PV","2033",6812.82554502276
"CSP","2033",36.4594652994842
"Geothermal","2033",11.7744746704805
"Fuel Cells","2033",3.9721145057393
"Nuclear","2034",751.75974984281
"Oil","2034",188.995587814623
"Coal","2034",1559.01637655101
"Coal + CCS","2034",28.3546582662122
"IGCC","2034",86.2468232306374
"IGCC + CCS","2034",0.566425451409515
"CCGT","2034",1832.57184921872
"CCGT + CCS","2034",27.2704540746208
"Solid Biomass","2034",187.440640879805
"Biogas","2034",78.4940734728977
"Large Hydro","2034",743.432227029381
"Onshore","2034",1090.86470717523
"Offshore","2034",323.553601318723
"Solar PV","2034",7206.09067044412
"CSP","2034",42.3229304321169
"Geothermal","2034",11.6143050476075
"Fuel Cells","2034",3.92362057690272
"Nuclear","2035",794.429170607191
"Oil","2035",188.069914899828
"Coal","2035",1591.49473993718
"Coal + CCS","2035",28.9318420384743
"IGCC","2035",86.655336515442
"IGCC + CCS","2035",0.577964953485072
"CCGT","2035",1848.97684846448
"CCGT + CCS","2035",27.7680301598285
"Solid Biomass","2035",186.108172080419
"Biogas","2035",80.3139866651488
"Large Hydro","2035",716.075641879402
"Onshore","2035",1046.73484503577
"Offshore","2035",320.202567905723
"Solar PV","2035",7577.72161754941
"CSP","2035",48.4351965236226
"Geothermal","2035",11.4864751795866
"Fuel Cells","2035",3.8805993259472
"Nuclear","2036",837.619089406838
"Oil","2036",186.947499454305
"Coal","2036",1618.78341996704
"Coal + CCS","2036",29.379600484147
"IGCC","2036",86.6493956045953
"IGCC + CCS","2036",0.587723103705846
"CCGT","2036",1860.666936715
"CCGT + CCS","2036",28.1927656057171
"Solid Biomass","2036",184.549208381486
"Biogas","2036",82.1293829183735
"Large Hydro","2036",690.398785841754
"Onshore","2036",1006.61978729164
"Offshore","2036",316.359203684539
"Solar PV","2036",7898.86172941457
"CSP","2036",55.0831406314493
"Geothermal","2036",11.3650297341808
"Fuel Cells","2036",3.83936247036145
"Nuclear","2037",880.677274198163
"Oil","2037",185.926515431251
"Coal","2037",1645.47327701336
"Coal + CCS","2037",29.7844533988843
"IGCC","2037",86.4921780832992
"IGCC + CCS","2037",0.597213294622577
"CCGT","2037",1869.99936599832
"CCGT + CCS","2037",28.5485266449114
"Solid Biomass","2037",183.143428533506
"Biogas","2037",84.0653534373697
"Large Hydro","2037",666.454488014395
"Onshore","2037",972.385242903483
"Offshore","2037",312.951880505137
"Solar PV","2037",8191.77740702725
"CSP","2037",62.5021538678948
"Geothermal","2037",11.2498856563736
"Fuel Cells","2037",3.80208213874441
"Nuclear","2038",923.810410603948
"Oil","2038",185.056252985054
"Coal","2038",1672.06785359667
"Coal + CCS","2038",30.1525825569772
"IGCC","2038",86.2530424190578
"IGCC + CCS","2038",0.60715508398603
"CCGT","2038",1881.89294190721
"CCGT + CCS","2038",28.8709933950161
"Solid Biomass","2038",181.919600361198
"Biogas","2038",86.1580148110477
"Large Hydro","2038",644.800687636729
"Onshore","2038",943.120549089112
"Offshore","2038",309.985307608244
"Solar PV","2038",8454.89253190207
"CSP","2038",71.0855684089836
"Geothermal","2038",11.13951504254
"Fuel Cells","2038",3.76890601910585
"Nuclear","2039",971.392646318046
"Oil","2039",184.537931836053
"Coal","2039",1700.81949178627
"Coal + CCS","2039",30.5067033778902
"IGCC","2039",86.009609737863
"IGCC + CCS","2039",0.617206023525698
"CCGT","2039",1897.60564476605
"CCGT + CCS","2039",29.2171090808737
"Solid Biomass","2039",180.932942863084
"Biogas","2039",88.3714899153314
"Large Hydro","2039",625.834283084371
"Onshore","2039",920.498813802649
"Offshore","2039",307.542194851524
"Solar PV","2039",8689.30886482242
"CSP","2039",81.1772964344968
"Geothermal","2039",11.0388749681863
"Fuel Cells","2039",3.73915702957604
"Nuclear","2040",1016.27713815983
"Oil","2040",184.04415515311
"Coal","2040",1728.58358407438
"Coal + CCS","2040",30.8265293425857
"IGCC","2040",85.7127709085553
"IGCC + CCS","2040",0.627665957914611
"CCGT","2040",1913.36424015838
"CCGT + CCS","2040",29.4792892618232
"Solid Biomass","2040",180.040578229606
"Biogas","2040",90.7265657845388
"Large Hydro","2040",608.296312163822
"Onshore","2040",901.246582500372
"Offshore","2040",305.470594854545
"Solar PV","2040",8893.58381211204
"CSP","2040",93.0372862098653
"Geothermal","2040",10.9420908151873
"Fuel Cells","2040",3.71376250491697
"Nuclear","2041",1061.35755989033
"Oil","2041",183.80429604623
"Coal","2041",1756.73291760396
"Coal + CCS","2041",31.1298544071721
"IGCC","2041",85.4235456052394
"IGCC + CCS","2041",0.640135694650578
"CCGT","2041",1932.03385963225
"CCGT + CCS","2041",29.7260247296841
"Solid Biomass","2041",179.330161030328
"Biogas","2041",93.2746592452707
"Large Hydro","2041",592.796872060424
"Onshore","2041",885.489627440295
"Offshore","2041",304.05385191023
"Solar PV","2041",9075.25341616069
"CSP","2041",106.890667778785
"Geothermal","2041",10.8542072735966
"Fuel Cells","2041",3.69544704370581
"Nuclear","2042",1106.37435082154
"Oil","2042",183.762481547887
"Coal","2042",1785.16610467099
"Coal + CCS","2042",31.4132402439998
"IGCC","2042",85.1378016034737
"IGCC + CCS","2042",0.653125688663383
"CCGT","2042",1952.85025504808
"CCGT + CCS","2042",29.9561683896898
"Solid Biomass","2042",178.728331546462
"Biogas","2042",95.9132122939095
"Large Hydro","2042",579.117422387279
"Onshore","2042",872.192726410447
"Offshore","2042",302.91139929271
"Solar PV","2042",9233.07531120124
"CSP","2042",122.93783138557
"Geothermal","2042",10.7739901148082
"Fuel Cells","2042",3.67999644591228
"Nuclear","2043",1151.94907209553
"Oil","2043",183.981908312424
"Coal","2043",1814.7510521542
"Coal + CCS","2043",31.6946818992858
"IGCC","2043",84.9036037686032
"IGCC + CCS","2043",0.667019297091249
"CCGT","2043",1975.81029703041
"CCGT + CCS","2043",30.1894010711577
"Solid Biomass","2043",178.296474731848
"Biogas","2043",98.6345017045514
"Large Hydro","2043",567.279043303428
"Onshore","2043",861.018925199425
"Offshore","2043",302.195678763855
"Solar PV","2043",9374.42237595678
"CSP","2043",141.408876406349
"Geothermal","2043",10.7023488054043
"Fuel Cells","2043",3.66806489535963
"Nuclear","2044",1197.91591544324
"Oil","2044",184.422026590541
"Coal","2044",1845.58142157865
"Coal + CCS","2044",31.9806763105597
"IGCC","2044",84.7129588371497
"IGCC + CCS","2044",0.681328979416217
"CCGT","2044",2001.01410993825
"CCGT + CCS","2044",30.4262688431506
"Solid Biomass","2044",178.035194877733
"Biogas","2044",101.393832089309
"Large Hydro","2044",557.131349672851
"Onshore","2044",851.553412692
"Offshore","2044",301.798348200491
"Solar PV","2044",9502.89134856036
"CSP","2044",162.38537248894
"Geothermal","2044",10.6418787717862
"Fuel Cells","2044",3.6592742285569
"Nuclear","2045",1243.44284769424
"Oil","2045",185.024640846974
"Coal","2045",1877.14220552511
"Coal + CCS","2045",32.2617052472213
"IGCC","2045",84.5346338106223
"IGCC + CCS","2045",0.696108599894198
"CCGT","2045",2028.51668293414
"CCGT + CCS","2045",30.6621285152074
"Solid Biomass","2045",177.889390818293
"Biogas","2045",104.14913085255
"Large Hydro","2045",548.262201526931
"Onshore","2045",842.750118516554
"Offshore","2045",301.77797412697
"Solar PV","2045",9617.81686921981
"CSP","2045",185.568557361729
"Geothermal","2045",10.5916202991457
"Fuel Cells","2045",3.65319143210577
"Nuclear","2046",1288.43938436958
"Oil","2046",185.744248926494
"Coal","2046",1909.50755474345
"Coal + CCS","2046",32.5446165992072
"IGCC","2046",84.4514923555922
"IGCC + CCS","2046",0.712630516548913
"CCGT","2046",2059.05266446984
"CCGT + CCS","2046",30.8806235495557
"Solid Biomass","2046",177.90472598139
"Biogas","2046",106.933458161403
"Large Hydro","2046",539.878156559697
"Onshore","2046",834.278847824567
"Offshore","2046",302.137124163623
"Solar PV","2046",9724.36577570206
"CSP","2046",209.479310383981
"Geothermal","2046",10.5534547718724
"Fuel Cells","2046",3.65246535734242
"Nuclear","2047",1332.40844762624
"Oil","2047",186.725134434437
"Coal","2047",1943.3565461001
"Coal + CCS","2047",32.8355269715015
"IGCC","2047",84.63582554592
"IGCC + CCS","2047",0.729498142076882
"CCGT","2047",2093.3162298186
"CCGT + CCS","2047",31.0900880044943
"Solid Biomass","2047",178.055685827616
"Biogas","2047",109.689043974298
"Large Hydro","2047",533.143287531203
