Variable name,Variable description,Unit,Dim1,Dim2,Dim3,Dim4,Domain,History start,History end,Forecast start,Source/Comment
MEWA,Substitution matrix,rate,RTI,T2TI,T2TI,NA,FTT-P,-,-,2001,-
PMF,Prices of import groups (2010=1),$,NA,MTI,NA,TIME,General,-,-,2010,From E3ME results
RERY,Primary energy supply before trade,PJ,RTI,ERTI,NA,TIME,General,-,-,2010,From E3ME results
DPAR,Forecast of population groups,th person,RTI,DPTI,NA,TIME,General,-,-,2010,From E3ME results
METC,"LCOE (as seen by investors) incl carbon price, subsidies, FiT (2013$/MWh)",USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MLCO,Levelised costs of operation,USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MESC,FTT:Power cost of early scrapping power equipment,meuros2010,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MES2,FTT:Power market share limitation 2,na,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MES1,FTT:Power market share limitation 1,na,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MERC,FTT Resource prices or costs (2013$/GJ or 2013$/MWh),2013$/GJ or 2013$/MWh,RTI,ERTI,NA,TIME,FTT-P,-,-,2001,-
MEPD,FTT:Power total primary energy demand by resource type (PJ),PJ,RTI,ERTI,NA,TIME,FTT-P,-,-,2001,-
MELO,"Electricity demand residual (due to imports, losses, ets.)",GWh,RTI,NA,NA,TIME,FTT-P,-,-,2001,-
MELF,FTT:Power lifetime of power equipment,y,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MEKA,FTT:Power age-tracking matrix of existing capacity,GW,RTI,T2TI,TYTI,TIME,FTT-P,-,-,2001,-
MEFI,FTT:Power feed-in-tariffs,USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MECW,"LCOE bare, no policies, with carbon cost (2013$/MWh)",USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MECW battery only,"LCOE bare, no policies, only battery costs",USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MECS,LCOE incl. carbon price incl subsidies no FiT (2013$/MWh),USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MECD,MEWC standard deviation,USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MECC,LCOE (for price) no carbon price incl subsidies incl CF (2013$/MWh),USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MECC incl CO2,LCOE (for price) including all policies (2013$/MWh),USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MECC only CO2,LCOE (for price) including all policies (2013$/MWh),USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MEC6,TLCOE load band 6,USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MEC5,TLCOE load band 5,USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MEC4,TLCOE load band 4,USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MEC3,TLCOE load band 3,USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MEC2,TLCOE load band 2,USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MEC1,TLCOE load band 1,USD/MWh,RTI,T2TI,NA,TIME,FTT-P,-,-,2001,-
MCTN,FTT:Power Net curtailment rate by technology (-),%,RTI,T2TI,NA,TIME,FTT-P,,,2001,
HJET,FTT-Heat Tech to fuel conversion matrix,,NA,HTTI,JTI,NA,FTT-H,,,,
HJFC,FTT-Heat Fraction of energy use for heating in households,,RTI,JTI,NA,NA,FTT-H,,,,
HEWA,FTT-Heat Substitution matrix,,NA,HTTI,HTTI,NA,FTT-H,,,,
HEWB,FTT-Heat Technology spill-over matrix,,NA,HTTI,HTTI,NA,FTT-H,,,,
HEWW,FTT-Heat Global cumulative investment,GW,NA,HTTI,NA,TIME,FTT-H,,2014,2014,
HFIN,FTT-Heat Interest rates,%,RTI,HTTI,NA,TIME,FTT-H,,,2001,
HFFC,FTT-Heat Fuel price rates,%,RTI,JTI,NA,TIME,FTT-H,,,2001,
HEWF,FTT-Heat Final energy demand for heat generation,GWh/y,RTI,HTTI,NA,TIME,FTT-H,,2020,1990,
