RTI,FSTI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
3 Germany (DE),LCV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2830181.0,2813433.25,2796685.5,2779937.5,2763189.75,2746441.75,2729694.0,2712946.25,2668023.0,2552019.0,2667096.0,2788400.0,2686967.0,2649785.0,2594392.5,2563163.0,2538339.0,2519914.5,2508009.5,2503025.25,2505113.25,2514339.5,2530718.75,2554038.75,2583730.25,2619104.75,2659569.0,2704566.25,2753511.25,2806196.5,2862237.75,2921369.0,2983306.0,3047711.25,3114209.5,3182400.5,3251937.75,3322468.25,3393706.25,3465441.0,3537561.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Germany (DE),MDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366579.625,361154.375,355729.15625,350303.90625,344878.6875,339453.4375,334028.21875,328602.96875,321356.0,317912.0,315975.0,316118.0,307326.0,305551.0,278024.375,271431.0625,267877.15625,266604.0,267250.4375,269542.03125,273175.15625,277908.5625,283441.8125,289507.59375,295874.84375,302400.25,308993.34375,315544.03125,322018.65625,328374.59375,334598.3125,340692.78125,346645.1875,352439.875,358089.15625,363599.53125,368987.8125,374266.5625,379454.78125,384590.75,389677.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Germany (DE),HDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643498.625,642230.3125,640962.0,639693.6875,638425.3125,637157.0,635888.6875,634620.375,625181.0,633564.0,636319.0,648583.0,652939.0,668875.0,580855.5,583426.5,592339.625,604897.6875,619635.5,635676.625,652354.0,669092.75,685296.375,700447.0,714304.1875,726831.75,738095.4375,748179.9375,757185.1875,765235.8125,772449.125,778879.875,784511.125,789350.8125,793469.25,796969.625,799971.875,802586.75,804899.6875,806985.625,808899.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Germany (DE),Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Greece (EL),TWV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Greece (EL),LCV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898206.5,895159.0625,892111.6875,889064.3125,886016.9375,882969.5625,879922.1875,876874.75,693611.0,906784.0,921766.0,944296.0,917579.0,895029.0,854898.4375,844607.75,836427.8125,830356.625,826433.6875,824791.3125,825479.375,828519.5625,833916.75,841601.1875,851385.0,863041.5625,876375.25,891202.625,907330.875,924691.625,943158.1875,962643.0,983052.3125,1004275.0625,1026187.375,1048657.5,1071571.25,1094812.25,1118286.5,1141924.375,1165689.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Greece (EL),MDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137713.5,135038.03125,132362.5625,129687.09375,127011.6328125,124336.1640625,121660.6953125,118985.2265625,120469.0,120556.0,119352.0,122002.0,95207.0,74565.0,95594.359375,93327.3515625,92105.390625,91667.640625,91889.90625,92677.8359375,93927.03125,95554.5390625,97457.0546875,99542.6875,101731.96875,103975.6328125,106242.5546875,108494.9140625,110721.109375,112906.4921875,115046.4296875,117141.9140625,119188.5546875,121180.9765625,123123.390625,125018.046875,126870.7265625,128685.7421875,130469.6328125,132235.546875,133984.421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Greece (EL),HDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109250.078125,108024.4609375,106798.8359375,105573.2109375,104347.59375,103121.96875,101896.3515625,100670.7265625,109312.0,106363.0,105873.0,103574.0,81841.0,64723.0,85104.3515625,85481.0390625,86786.9453125,88626.90625,90786.2265625,93136.4921875,95579.984375,98032.46875,100406.5546875,102626.359375,104656.6484375,106492.1328125,108142.4375,109619.9765625,110939.3828125,112118.921875,113175.78125,114117.9921875,114943.0546875,115652.140625,116255.5625,116768.421875,117208.296875,117591.4140625,117930.296875,118235.921875,118516.3359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Greece (EL),Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Spain (ES),TWV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Spain (ES),LCV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4509215.5,4466634.0,4424052.5,4381471.0,4338889.5,4296308.0,4253726.5,4211145.0,4972279.0,3786523.0,3862151.0,3898184.0,3828849.0,3779389.0,3912753.25,3865654.5,3828216.0,3800429.0,3782474.0,3774957.25,3778106.25,3792020.75,3816723.0,3851893.5,3896672.75,3950023.25,4011049.75,4078912.75,4152729.5,4232187.0,4316706.0,4405885.5,4499296.0,4596429.5,4696719.5,4799562.0,4904435.5,5010806.5,5118244.5,5226432.0,5335201.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Spain (ES),MDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147217.96875,144728.234375,142238.484375,139748.75,137259.015625,134769.28125,132279.546875,129789.8046875,130608.0,128675.0,132706.0,117244.0,111636.0,108114.0,107415.96875,104868.609375,103495.5390625,103003.6484375,103253.4140625,104138.7734375,105542.453125,107371.2265625,109509.015625,111852.5703125,114312.578125,116833.703125,119380.96875,121911.859375,124413.359375,126869.0,129273.5703125,131628.1875,133927.921875,136166.734375,138349.359375,140478.3125,142560.109375,144599.578125,146604.0625,148588.375,150553.515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Spain (ES),HDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473994.8125,472013.34375,470031.875,468050.4375,466068.96875,464087.5,462106.03125,460124.5625,460070.0,467933.0,481444.0,454697.0,448479.0,446630.0,413894.75,415726.75,422077.875,431026.28125,441527.84375,452958.09375,464841.75,476769.125,488315.1875,499110.9375,508985.0,517911.65625,525937.6875,533123.5625,539540.3125,545276.875,550416.8125,554999.125,559011.6875,562460.25,565394.9375,567889.125,570028.4375,571891.6875,573539.8125,575026.1875,576389.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Spain (ES),Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 France (FR),TWV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 France (FR),LCV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6603335.0,6558928.5,6514522.5,6470116.0,6425710.0,6381304.0,6336897.5,6292491.5,6397957.0,6029061.0,6005010.0,6279128.0,6147326.0,6035307.0,5979412.0,5907436.5,5850223.5,5807760.0,5780321.5,5768834.5,5773646.5,5794910.5,5832660.5,5886407.5,5954838.5,6036367.5,6129627.5,6233334.5,6346140.5,6467566.5,6596727.0,6733009.5,6875758.5,7024196.5,7177458.0,7334620.5,7494886.0,7657441.0,7821626.5,7986957.0,8153176.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 France (FR),MDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125686.1796875,123908.1171875,122130.0546875,120351.984375,118573.921875,116795.859375,115017.7890625,113239.7265625,109723.0,108527.0,107563.0,110305.0,108629.0,108583.0,96444.78125,94157.6015625,92924.7734375,92483.125,92707.3671875,93502.3046875,94762.6171875,96404.6015625,98324.046875,100428.234375,102636.984375,104900.609375,107187.703125,109460.09375,111706.09375,113910.921875,116069.8984375,118184.0234375,120248.875,122259.015625,124218.7109375,126130.21875,127999.3828125,129830.5390625,131630.296875,133411.9375,135176.359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
