,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
11 BIGCC,0.0,0.0,0.0,0.0,0.0,4.782222465159349e-05,9.103243447726201e-05,0.00013209665098829916,0.00025429389282957443,-2.3000107318468907e-05,2.5628062239919794e-06,-1.1819470640897283e-05,4.215226551510529e-07,3.8621379940537767e-07,3.5849359102243725e-07,3.508784891140086e-07,3.4188601710110657e-07,3.3060090238133926e-07,3.232468539266127e-07,3.0703895568140894e-07,2.976812716959723e-07,1.837902094325647e-07,1.3553939696346693e-07,9.316746753685462e-08,4.0552397744496316e-08,3.645579526190962e-10,-4.2459588430908066e-08,-8.30157003022837e-08,-1.1980587083613038e-07,-1.5841300914987751e-07,-1.9926026584835867e-07,-2.3194938980283537e-07,-2.632530595883878e-07,-2.875441365672582e-07,-3.045444186393093e-07,-3.1942950066195935e-07,-3.199547162611614e-07,-3.3294381220061713e-07,-3.408045108089239e-07,-3.4693008903099315e-07,-3.533676705660049e-07
12 BIGCC + CCS,0.0,0.0,0.0,0.0,0.0,2.3911112325796744e-05,4.535651121323229e-05,6.647668917793817e-05,0.00013186281033316754,-1.2138754576531058e-05,1.2644109971368298e-06,-6.257699845508603e-06,1.7964385222392267e-07,1.7962568489723017e-07,1.842353965677136e-07,1.9935799702719414e-07,2.1245264372071358e-07,2.2195887832055948e-07,2.317934496411187e-07,2.3719035434680534e-07,2.483154718195676e-07,2.0578440476182267e-07,1.968658081158447e-07,1.897246512695401e-07,1.755057033917505e-07,1.6613762459044643e-07,1.537213840917544e-07,1.4101120493790814e-07,1.2907825753258675e-07,1.1579594135386348e-07,1.0203149572457363e-07,9.341886797540732e-08,8.564369141639532e-08,8.14725638883856e-08,8.106847158379166e-08,8.191230662502177e-08,9.086893468235324e-08,9.334731877470685e-08,9.908725360444764e-08,1.0611271652913269e-07,1.1353212669794723e-07
13 Biogas,0.011938855544940634,-0.0002869236878698597,-5.531967367643914e-06,0.0,0.0007493100099947633,-0.0010749861438366388,-0.0003785734920341271,-0.0007309335382476752,-0.0010068237877211292,-0.0001803007334523262,0.00017940683823579155,-1.718917099873766e-05,0.0001225343418037473,0.00010049380691920257,7.594310161988978e-05,5.074827632432343e-05,2.7068536966952557e-05,7.979331410355728e-06,-5.100719689326433e-06,-1.4420194513900877e-05,-2.3354999145639224e-05,-3.699779535715816e-05,-5.084535522982981e-05,-6.401846477133415e-05,-7.544381622095423e-05,-8.436575534411916e-05,-9.09350180580892e-05,-9.548390572481757e-05,-9.761629605824825e-05,-9.696218931039367e-05,-9.419049474381283e-05,-9.109691491535066e-05,-8.906154587507483e-05,-8.755985940664748e-05,-8.613141046743406e-05,-8.468520755363414e-05,-8.286934196364507e-05,-8.122778443600803e-05,-7.950923470193601e-05,-7.77542877453373e-05,-7.598239366587121e-05
14 Biogas + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,0.04078987754106654,0.007317343386281462,0.007225183400141548,0.0,0.00427591899120125,0.0006263720869645675,-0.006599990129454086,-0.0007960085437610925,-0.000916747227267551,-0.0011667900103395218,-8.138106892655039e-05,-0.0006561679713657891,-0.00047750282820773274,-0.0004915774466439995,-0.000520262686703403,-0.0005763482460363345,-0.0006128421243823297,-0.0006202420491346339,-0.0006067392944108865,-0.0005713696252552941,-0.0005738792731087503,-0.00044078934040578735,-0.0004670186466080341,-0.0005124353652156081,-0.0005305113505152878,-0.0005569594462145801,-0.0005621429845984321,-0.0005579695448112952,-0.0005423231954853943,-0.0004957936217112428,-0.0004188764128439156,-0.0003503901084189638,-0.0002933331704922694,-0.0002559561426600347,-0.00023425724791440242,-0.00021686146214121294,-0.00022389287089468086,-0.0002072012489778407,-0.000197833993260706,-0.0001874075527908848,-0.00017587116616010062
17 Onshore,0.17730111263844905,0.09863977371918259,-0.01999985860864878,0.0,0.026004656011949456,0.04354632641783385,-0.041768024431151185,0.04622764999917922,0.03727351615412816,0.03898195690344847,-0.00523363330751736,0.008151734536746613,0.04648146185825314,0.041713250332092944,0.03432963754020013,0.024099836656339302,0.011133152613472697,-0.0038166555247876044,-0.019691651404465493,-0.03475723195620117,-0.046495057481144686,-0.05392678727477679,-0.05662704378987515,-0.05556041277289048,-0.05178825512116242,-0.046314920518556596,-0.040030255105516555,-0.03355784683835547,-0.02730096077766321,-0.021431077862882147,-0.01585169964391754,-0.011008181427894573,-0.0076931133259127565,-0.005726284893336771,-0.004503985807212292,-0.0037101609346377323,-0.0031126643056437336,-0.002688800993995988,-0.0023575812027826493,-0.0020987676863323326,-0.0018807097774189152
18 Offshore,0.011820112003810477,0.006576005959809287,-0.001333328174294466,0.0,0.0017337268565970135,0.0029627472085632794,-0.002104844258346533,0.0031868196616618577,0.002709666340310092,-0.018765646914543868,-5.2336333075173394e-05,8.15173453674661e-05,0.0018228358877772225,0.0026126742915692346,0.003729430055671206,0.005259618169600222,0.007244907801215086,0.00960170363440195,0.011993558396891792,0.013751147517367945,0.014101042171396141,0.0126019751621535,0.009438569608190853,0.005254287542383718,0.0008885660711597521,-0.0029190335454500754,-0.005731522416603338,-0.007422903481960133,-0.007987026956839074,-0.007192311466548987,-0.004471358790519589,-0.0012024256479759021,0.0007127759168103626,0.0014885876886245597,0.0017921691655100602,0.001811941265259645,0.001795355242595914,0.0016864886410602742,0.0015378918228582533,0.001346310907154799,0.0011604655663321889
19 Solar PV,8.904629654093576e-05,1.2352601111127907e-05,2.1034393573566155e-05,0.0,0.00028480552459500736,9.537159086333452e-05,0.0003355737029229145,0.0005581406037894644,0.0006511099216415575,0.004179472458912706,0.003112232504020495,0.004515819097892261,0.0040986661468161555,0.0057195186852866745,0.008016414095204358,0.011290793932918666,0.015860362084973316,0.02191767947485901,0.029374690872064735,0.037569206292235396,0.04558495863520498,0.05231904860302919,0.0572032017622085,0.05980317083193715,0.060041073197470485,0.05814793540414176,0.05449579261395393,0.04952949406183538,0.043616922411577885,0.03658306905051556,0.02771134974384093,0.018915128124945002,0.01295521984419723,0.009542925769091215,0.007438198323419298,0.006125452325402181,0.005152201150218305,0.0044665353034374355,0.003967087434292416,0.0036266616821690745,0.003353976923590185
20 CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
