,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
11 BIGCC,0.0,0.0,0.0,0.0,0.0,7.711316312597622e-05,0.00030571083022862126,0.00010837556689065623,0.00012335921244254876,-2.368574937970582e-05,-5.153805953096811e-05,-3.4146118040501074e-07,4.482631248639069e-06,4.346618719446352e-06,4.239029104461853e-06,4.176373774748181e-06,4.14713437840936e-06,4.155009063118789e-06,4.166729093273819e-06,4.1171750035951535e-06,3.938170352265919e-06,3.4739940565221405e-06,2.9673602260743255e-06,2.460427174707418e-06,1.972179208617605e-06,1.5394073201853388e-06,1.1205402082711986e-06,7.943306479501339e-07,5.167041991115595e-07,3.1464233090532697e-07,1.630326350892568e-07,5.0752876856589337e-08,-3.7970215635736715e-08,-1.0258715699140979e-07,-1.5703103014815586e-07,-2.000807087590168e-07,-2.340842226707194e-07,-2.612919339003289e-07,-2.834115302566059e-07,-3.000557804937838e-07,-3.165572614221082e-07
12 BIGCC + CCS,0.0,0.0,0.0,0.0,0.0,3.855658156298809e-05,0.00015177607290940123,5.405000121353848e-05,6.274257778231273e-05,-1.2333177409828045e-05,-2.6535674341441305e-05,-3.577752275282591e-07,2.1206573902629263e-06,2.0619435312965294e-06,2.021245164761105e-06,2.006264450501137e-06,2.0109151545572674e-06,2.0367718459004722e-06,2.06632630626966e-06,2.0657882104679654e-06,1.9997049596399584e-06,1.7877448160905866e-06,1.5528729389071823e-06,1.315372138285841e-06,1.0842838585646834e-06,8.790940833263241e-07,6.79946528104713e-07,5.268577814456876e-07,3.970932063104707e-07,3.0418037609282163e-07,2.3542065570581177e-07,1.8533141455940975e-07,1.460561660441683e-07,1.1806053983715557e-07,9.433342237587976e-08,7.570611050723838e-08,6.111966564391509e-08,4.9511551696794064e-08,4.0107877636707395e-08,3.316371537418839e-08,2.599175668254296e-08
13 Biogas,0.0009538694866741581,0.00034758997620179196,-0.0008414644503990978,0.0,-9.417049197648015e-05,0.00019659128661583987,-0.00048007018986368074,0.0006255938178268503,0.003399491514451895,-8.124767970075619e-05,-0.00032613697722798634,9.472315680661599e-05,0.00012729847749906598,0.00012100085992065076,0.00011314969899627308,0.00010415834100535766,9.40083419689432e-05,8.286950843027548e-05,7.072377139135874e-05,5.733298983677006e-05,4.2521813952256515e-05,2.544428177906656e-05,8.89109762133855e-06,-6.096280299121293e-06,-1.9017464216743683e-05,-2.9806173471871693e-05,-3.9437485050633145e-05,-4.70936056651541e-05,-5.3276552637724316e-05,-5.753782777942213e-05,-6.036009215465432e-05,-6.207013908864079e-05,-6.299064422250061e-05,-6.326031140313493e-05,-6.308671491245515e-05,-6.256953388740234e-05,-6.179979673604213e-05,-6.084675695047174e-05,-5.9769344944923634e-05,-5.859101671271908e-05,-5.737549149925549e-05
14 Biogas + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,0.17502802928910305,0.07138037545606501,0.02449619345042986,0.0,0.004510088561265585,-0.0283221747650039,0.0026547309932941354,0.04433360120730373,-0.012142038637647151,-0.013234204680888234,-0.023623640789591283,-0.007204610344543894,-0.009496258942170738,-0.009464520361421341,-0.009479506585196473,-0.009545685305645951,-0.009630061036896675,-0.009719280819671439,-0.009751954379935812,-0.009630317670707988,-0.009263048090648693,-0.00845422558166134,-0.007559279496476792,-0.006650033190375285,-0.005765580094409771,-0.004970671821548575,-0.0042205846036582825,-0.003587197518201267,-0.0029658363933851087,-0.0024999467886244325,-0.002145309297645219,-0.001876380210641529,-0.0016628885919530295,-0.0015002455430908265,-0.0013653333366909146,-0.001256321900540057,-0.001167582298557221,-0.0010940828091956512,-0.001032238033984792,-0.0009818310331276663,-0.000934448545391868
17 Onshore,0.0006815849129060381,0.0003774809524889468,0.000610169828972381,0.0,0.00030429820127758763,0.0029581062410564685,0.0009111935794550996,0.0037939766593258345,0.0021856108744802705,0.0006362260760571538,0.00022578899231487544,0.001378527217439602,0.0016134404094100517,0.0017238339779430227,0.0017682621017373334,0.0017335842745939863,0.0016075109222619677,0.0013943422188034509,0.001100605062679269,0.0007518507684815823,0.00038421535730067194,1.897873122082977e-05,-0.00030555689394684213,-0.00057008395156153,-0.0007596424141104556,-0.0008858033430708158,-0.0009658771614481712,-0.0010070539129324978,-0.0010183948998937972,-0.0010004853930851536,-0.0009685811528361669,-0.0009253335175027737,-0.0008745035047174818,-0.0008203472142569342,-0.0007656542845908589,-0.0007126454024027635,-0.0006624386580101286,-0.000615489629376879,-0.0005720449857445579,-0.0005319995598260397,-0.0004953039574486905
18 Offshore,8.393906225685832e-05,4.64878206248031e-05,7.514409766348502e-05,0.0,3.747514794058971e-05,0.00037016973466383877,0.0001220861453177524,0.0004746565255743637,0.0002840493155000204,-0.0006839474427949061,-8.204596772421401e-05,0.00613290196541171,0.00024367842821057008,0.00025733379508788377,0.00026637332365239946,0.0002696971518686281,0.000264875419458719,0.0002482388748591101,0.00021966252005387564,0.00018237765003173423,0.0001385188177297561,8.917013837587973e-05,3.7491445582115215e-05,-1.1606185643766795e-05,-5.535540094630219e-05,-9.252296713803572e-05,-0.00012363088641630451,-0.0001474170574526472,-0.00016497014212595376,-0.00017545470137687175,-0.0001813124846599696,-0.0001835898370218976,-0.00018314226009355245,-0.00018073732400774884,-0.00017702913955002734,-0.00017243542287432873,-0.0001673326697130724,-0.00016192096299970284,-0.00015637172074765057,-0.0001507773218980468,-0.00014526154111640151
19 Solar PV,0.0003027871731150685,0.0007975213900929149,0.0037389912025434418,0.0,0.0024360081391452317,0.008229729095010085,0.012508477781546335,0.0072449304098830825,-0.0021167174884907103,0.03683140861889788,0.07657568765006985,0.00038785416156109087,0.026794800092651477,0.03093408441981066,0.0352310158238128,0.03917544735943354,0.04249640277002731,0.044956296576076304,0.04636715945726172,0.04659803075626778,0.04560697508084055,0.04334487433189382,0.03994735134124916,0.03576527594173606,0.03127535501491441,0.026895785860558852,0.02278528789014067,0.019260973484860666,0.016287040094921768,0.013932717813497475,0.012060102293603103,0.010558728694097241,0.009332186615147675,0.008327752488016649,0.007495292876240511,0.0067971685169579965,0.006205596771752253,0.005697933394845811,0.00525787439128822,0.004876241494211064,0.004537151440871745
20 CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007460243290296979,0.0007657568765006987,3.878541615610779e-06,1.3598325229816468e-05,1.2603822328118713e-05,1.1650206242198435e-05,1.0769278281660185e-05,9.932721193906284e-06,9.151379855495793e-06,8.349002357319578e-06,7.379812635314358e-06,6.101558900053735e-06,4.175203505385862e-06,2.2263427322251166e-06,3.6967567773409614e-07,-1.343202399880063e-06,-2.8188358398690237e-06,-4.1516580172333475e-06,-5.2003252044427115e-06,-6.117117253513467e-06,-6.767694333952284e-06,-7.233285641288119e-06,-7.558150108648992e-06,-7.792149817736297e-06,-7.943278841527615e-06,-8.049970956202582e-06,-8.114348757527453e-06,-8.145356755971753e-06,-8.151011054174798e-06,-8.137098036859738e-06,-8.104338156908822e-06,-8.06598418253107e-06
